WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
02;24;01;4;96;;Bardo;0983801;0983801;2021-01-01
02;02;01;1;96;;Bielawa;0983818;0983818;2021-01-01
02;14;02;4;96;;Bierutów;0987035;0987035;2021-01-01
02;25;03;4;96;;Bogatynia;0935908;0935908;2021-01-01
02;21;01;1;96;;Boguszów-Gorce;0983824;0983824;2021-01-01
02;01;01;1;96;;Bolesławiec;0935989;0935989;2021-01-01
02;05;02;4;96;;Bolków;0935995;0935995;2021-01-01
02;22;01;4;96;;Brzeg Dolny;0987064;0987064;2021-01-01
02;08;06;4;96;;Bystrzyca Kłodzka;0983899;0983899;2021-01-01
02;16;01;4;96;;Chocianów;0954060;0954060;2021-01-01
02;09;01;1;96;;Chojnów;0954076;0954076;2021-01-01
02;08;01;1;96;;Duszniki-Zdrój;0983913;0983913;2021-01-01
02;02;02;1;96;;Dzierżoniów;0983988;0983988;2021-01-01
02;03;01;1;96;;Głogów;0954082;0954082;2021-01-01
02;21;05;4;96;;Głuszyca;0984002;0984002;2021-01-01
02;04;01;4;96;;Góra;0954449;0954449;2021-01-01
02;12;01;4;96;;Gryfów Śląski;0936003;0936003;2021-01-01
02;05;01;1;96;;Jawor;0954120;0954120;2021-01-01
02;19;04;4;96;;Jaworzyna Śląska;0984019;0984019;2021-01-01
02;21;02;1;96;;Jedlina-Zdrój;0984025;0984025;2021-01-01
02;15;03;4;96;;Jelcz-Laskowice;0987118;0987118;2021-01-01
02;61;01;1;96;;Jelenia Góra;0935802;0935802;2021-01-01
02;24;03;4;96;;Kamieniec Ząbkowicki;0852631;0852631;2021-01-01
02;07;01;1;96;;Kamienna Góra;0936026;0936026;2021-01-01
02;06;01;1;96;;Karpacz;0936032;0936032;2021-01-01
02;23;04;4;96;;Kąty Wrocławskie;0987124;0987124;2021-01-01
02;08;02;1;96;;Kłodzko;0984077;0984077;2021-01-01
02;06;02;1;96;;Kowary;0936078;0936078;2021-01-01
02;08;03;1;96;;Kudowa-Zdrój;0984120;0984120;2021-01-01
02;08;08;4;96;;Lądek-Zdrój;0984203;0984203;2021-01-01
02;62;01;1;96;;Legnica;0954047;0954047;2021-01-01
02;10;03;4;96;;Leśna;0936121;0936121;2021-01-01
02;10;01;1;96;;Lubań;0936150;0936150;2021-01-01
02;07;03;4;96;;Lubawka;0936180;0936180;2021-01-01
02;11;01;1;96;;Lubin;0954142;0954142;2021-01-01
02;12;02;4;96;;Lubomierz;0936210;0936210;2021-01-01
02;12;03;4;96;;Lwówek Śląski;0936227;0936227;2021-01-01
02;14;05;4;96;;Międzybórz;0937037;0937037;2021-01-01
02;08;10;4;96;;Międzylesie;0984226;0984226;2021-01-01
02;21;06;4;96;;Mieroszów;0984210;0984210;2021-01-01
02;13;03;4;96;;Milicz;0987130;0987130;2021-01-01
02;12;04;4;96;;Mirsk;0936233;0936233;2021-01-01
02;02;07;4;96;;Niemcza;0984232;0984232;2021-01-01
02;08;04;1;96;;Nowa Ruda;0984278;0984278;2021-01-01
02;01;04;4;96;;Nowogrodziec;0936262;0936262;2021-01-01
02;20;01;4;96;;Oborniki Śląskie;0987182;0987182;2021-01-01
02;15;01;1;96;;Oława;0987259;0987259;2021-01-01
02;14;01;1;96;;Oleśnica;0987213;0987213;2021-01-01
02;10;05;4;96;;Olszyna;0191684;0191684;2021-01-01
02;06;03;1;96;;Piechowice;0936285;0936285;2021-01-01
02;25;04;4;96;;Pieńsk;0936351;0936351;2021-01-01
02;02;03;4;96;;Pieszyce;0984396;0984396;2021-01-01
02;02;04;1;96;;Piława Górna;0984491;0984491;2021-01-01
02;08;05;1;96;;Polanica-Zdrój;0984522;0984522;2021-01-01
02;16;04;4;96;;Polkowice;0954165;0954165;2021-01-01
02;09;07;4;96;;Prochowice;0954171;0954171;2021-01-01
02;20;02;4;96;;Prusice;0879914;0879914;2021-01-01
02;16;05;4;96;;Przemków;0954194;0954194;2021-01-01
02;08;12;4;96;;Radków;0984539;0984539;2021-01-01
02;11;04;4;96;;Ścinawa;0954202;0954202;2021-01-01
02;23;08;4;96;;Siechnice;0881160;0881160;2021-01-01
02;23;07;4;96;;Sobótka;0987294;0987294;2021-01-01
02;18;04;4;96;;Środa Śląska;0987348;0987348;2021-01-01
02;08;13;4;96;;Stronie Śląskie;0984545;0984545;2021-01-01
02;19;06;4;96;;Strzegom;0984551;0984551;2021-01-01
02;17;04;4;96;;Strzelin;0987331;0987331;2021-01-01
02;19;01;1;96;;Świdnica;0984657;0984657;2021-01-01
02;19;02;1;96;;Świebodzice;0984663;0984663;2021-01-01
02;10;02;1;96;;Świeradów-Zdrój;0936457;0936457;2021-01-01
02;26;04;4;96;;Świerzawa;0936486;0936486;2021-01-01
02;14;07;4;96;;Syców;0937379;0937379;2021-01-01
02;21;03;1;96;;Szczawno-Zdrój;0984574;0984574;2021-01-01
02;08;14;4;96;;Szczytna;0984597;0984597;2021-01-01
02;06;04;1;96;;Szklarska Poręba;0936368;0936368;2021-01-01
02;20;03;4;96;;Trzebnica;0987383;0987383;2021-01-01
02;14;08;4;96;;Twardogóra;0987390;0987390;2021-01-01
02;65;01;1;96;;Wałbrzych;0983681;0983681;2021-01-01
02;04;04;4;96;;Wąsosz;0954662;0954662;2021-01-01
02;25;06;4;96;;Węgliniec;0936492;0936492;2021-01-01
02;17;05;4;96;;Wiązów;0987437;0987437;2021-01-01
02;12;05;4;96;;Wleń;0936500;0936500;2021-01-01
02;26;01;1;96;;Wojcieszów;0936517;0936517;2021-01-01
02;22;03;4;96;;Wołów;0987466;0987466;2021-01-01
02;64;01;1;96;;Wrocław;0986283;0986283;2021-01-01
02;24;05;4;96;;Ząbkowice Śląskie;0984692;0984692;2021-01-01
02;19;08;4;96;;Żarów;0984746;0984746;2021-01-01
02;25;01;1;96;;Zawidów;0936523;0936523;2021-01-01
02;25;02;1;96;;Zgorzelec;0936546;0936546;2021-01-01
02;24;06;4;96;;Ziębice;0984700;0984700;2021-01-01
02;26;02;1;96;;Złotoryja;0954219;0954219;2021-01-01
02;24;07;4;96;;Złoty Stok;0984723;0984723;2021-01-01
02;20;06;4;96;;Żmigród;0987503;0987503;2021-01-01
