WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
12;03;01;4;96;;Alwernia;0314454;0314454;2021-01-01
12;18;01;4;96;;Andrychów;0924023;0924023;2021-01-01
12;05;02;4;96;;Biecz;0952752;0952752;2021-01-01
12;05;03;4;96;;Bobowa;0417728;0417728;2021-01-01
12;01;01;1;96;;Bochnia;0981682;0981682;2021-01-01
12;02;02;4;96;;Brzesko;0981966;0981966;2021-01-01
12;13;02;4;96;;Brzeszcze;0938120;0938120;2021-01-01
12;12;01;1;96;;Bukowno;0938404;0938404;2021-01-01
12;13;03;4;96;;Chełmek;0924098;0924098;2021-01-01
12;03;03;4;96;;Chrzanów;0938982;0938982;2021-01-01
12;16;01;4;96;;Ciężkowice;0815239;0815239;2021-01-01
12;02;03;4;96;;Czchów;0816871;0816871;2021-01-01
12;04;02;4;96;;Dąbrowa Tarnowska;0982167;0982167;2021-01-01
12;09;01;4;96;;Dobczyce;0951505;0951505;2021-01-01
12;05;01;1;96;;Gorlice;0959903;0959903;2021-01-01
12;10;01;1;96;;Grybów;0960042;0960042;2021-01-01
12;15;01;1;96;;Jordanów;0960154;0960154;2021-01-01
12;18;03;4;96;;Kalwaria Zebrzydowska;0924253;0924253;2021-01-01
12;13;04;4;96;;Kęty;0924365;0924365;2021-01-01
12;14;02;4;96;;Koszyce;0244630;0244630;2021-01-01
12;61;01;1;96;;Kraków;0950463;0950463;2021-01-01
12;10;07;4;96;;Krynica-Zdrój;0960390;0960390;2021-01-01
12;06;06;4;96;;Krzeszowice;0951570;0951570;2021-01-01
12;03;04;4;96;;Libiąż;0940938;0940938;2021-01-01
12;07;01;1;96;;Limanowa;0960510;0960510;2021-01-01
12;15;06;4;96;;Maków Podhalański;0924537;0924537;2021-01-01
12;08;05;4;96;;Miechów;0947225;0947225;2021-01-01
12;07;02;1;96;;Mszana Dolna;0960697;0960697;2021-01-01
12;10;11;4;96;;Muszyna;0961283;0961283;2021-01-01
12;09;03;4;96;;Myślenice;0951617;0951617;2021-01-01
12;19;04;4;96;;Niepołomice;0951675;0951675;2021-01-01
12;14;03;4;96;;Nowe Brzesko;0329705;0329705;2021-01-01
12;62;01;1;96;;Nowy Sącz;0959435;0959435;2021-01-01
12;11;01;1;96;;Nowy Targ;0961538;0961538;2021-01-01
12;01;06;4;96;;Nowy Wiśnicz;0824936;0824936;2021-01-01
12;12;05;4;96;;Olkusz;0941777;0941777;2021-01-01
12;13;01;1;96;;Oświęcim;0924997;0924997;2021-01-01
12;10;13;4;96;;Piwniczna-Zdrój;0961768;0961768;2021-01-01
12;14;05;4;96;;Proszowice;0951818;0951818;2021-01-01
12;11;12;4;96;;Rabka-Zdrój;0962503;0962503;2021-01-01
12;16;05;4;96;;Radłów;0827923;0827923;2021-01-01
12;16;06;4;96;;Ryglice;0829098;0829098;2021-01-01
12;06;10;4;96;;Skała;0951860;0951860;2021-01-01
12;06;11;4;96;;Skawina;0951876;0951876;2021-01-01
12;06;12;4;96;;Słomniki;0952077;0952077;2021-01-01
12;10;16;4;96;;Stary Sącz;0963359;0963359;2021-01-01
12;15;02;1;96;;Sucha Beskidzka;0925287;0925287;2021-01-01
12;09;07;4;96;;Sułkowice;0952137;0952137;2021-01-01
12;06;14;4;96;;Świątniki Górne;0337774;0337774;2021-01-01
12;11;02;4;96;;Szczawnica;0963454;0963454;2021-01-01
12;04;07;4;96;;Szczucin;0831149;0831149;2021-01-01
12;63;01;1;96;;Tarnów;0981570;0981570;2021-01-01
12;03;05;4;96;;Trzebinia;0944149;0944149;2021-01-01
12;16;10;4;96;;Tuchów;0982457;0982457;2021-01-01
12;18;09;4;96;;Wadowice;0926921;0926921;2021-01-01
12;19;05;4;96;;Wieliczka;0952232;0952232;2021-01-01
12;16;13;4;96;;Wojnicz;0836276;0836276;2021-01-01
12;12;07;4;96;;Wolbrom;0945315;0945315;2021-01-01
12;16;15;4;96;;Żabno;0982641;0982641;2021-01-01
12;16;14;4;96;;Zakliczyn;0837436;0837436;2021-01-01
12;17;01;1;96;;Zakopane;0963773;0963773;2021-01-01
12;13;09;4;96;;Zator;0927576;0927576;2021-01-01
