WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
04;01;01;1;96;;Aleksandrów Kujawski;0985384;0985384;2021-01-01
04;19;01;4;96;;Barcin;0928825;0928825;2021-01-01
04;02;01;1;96;;Brodnica;0982954;0982954;2021-01-01
04;18;04;4;96;;Brześć Kujawski;0985444;0985444;2021-01-01
04;61;01;1;96;;Bydgoszcz;0928363;0928363;2021-01-01
04;04;01;1;96;;Chełmno;0983066;0983066;2021-01-01
04;15;01;1;96;;Chełmża;0983126;0983126;2021-01-01
04;18;06;4;96;;Chodecz;0985562;0985562;2021-01-01
04;01;02;1;96;;Ciechocinek;0985616;0985616;2021-01-01
04;08;04;4;96;;Dobrzyń nad Wisłą;0985651;0985651;2021-01-01
04;07;03;4;96;;Gniewkowo;0928937;0928937;2021-01-01
04;05;01;1;96;;Golub-Dobrzyń;0983155;0983155;2021-01-01
04;02;05;4;96;;Górzno;0983244;0983244;2021-01-01
04;62;01;1;96;;Grudziądz;0983333;0983333;2021-01-01
04;07;01;1;96;;Inowrocław;0928989;0928989;2021-01-01
04;18;08;4;96;;Izbica Kujawska;0985734;0985734;2021-01-01
04;02;07;4;96;;Jabłonowo Pomorskie;0983474;0983474;2021-01-01
04;07;05;4;96;;Janikowo;0929109;0929109;2021-01-01
04;19;03;4;96;;Janowiec Wielkopolski;0929167;0929167;2021-01-01
04;13;01;4;96;;Kamień Krajeński;0929210;0929210;2021-01-01
04;10;01;4;96;;Kcynia;0929233;0929233;2021-01-01
04;03;04;4;96;;Koronowo;0929285;0929285;2021-01-01
04;18;01;1;96;;Kowal;0985786;0985786;2021-01-01
04;05;04;4;96;;Kowalewo Pomorskie;0983540;0983540;2021-01-01
04;07;06;4;96;;Kruszwica;0929380;0929380;2021-01-01
04;19;04;4;96;;Łabiszyn;0929405;0929405;2021-01-01
04;06;03;4;96;;Łasin;0983557;0983557;2021-01-01
04;08;01;1;96;;Lipno;0985830;0985830;2021-01-01
04;18;11;4;96;;Lubień Kujawski;0985898;0985898;2021-01-01
04;18;12;4;96;;Lubraniec;0985929;0985929;2021-01-01
04;09;03;4;96;;Mogilno;0929428;0929428;2021-01-01
04;10;02;4;96;;Mrocza;0929440;0929440;2021-01-01
04;10;03;4;96;;Nakło nad Notecią;0929463;0929463;2021-01-01
04;01;03;1;96;;Nieszawa;0985987;0985987;2021-01-01
04;14;06;4;96;;Nowe;0929492;0929492;2021-01-01
04;07;07;4;96;;Pakość;0929517;0929517;2021-01-01
04;11;05;4;96;;Piotrków Kujawski;0867510;0867510;2021-01-01
04;11;01;1;96;;Radziejów;0986060;0986060;2021-01-01
04;06;04;4;96;;Radzyń Chełmiński;0983630;0983630;2021-01-01
04;12;01;1;96;;Rypin;0986136;0986136;2021-01-01
04;13;02;4;96;;Sępólno Krajeńskie;0929546;0929546;2021-01-01
04;08;07;4;96;;Skępe;0869583;0869583;2021-01-01
04;03;08;4;96;;Solec Kujawski;0929552;0929552;2021-01-01
04;09;04;4;96;;Strzelno;0929598;0929598;2021-01-01
04;14;09;4;96;;Świecie;0929664;0929664;2021-01-01
04;10;05;4;96;;Szubin;0929612;0929612;2021-01-01
04;63;01;1;96;;Toruń;0982724;0982724;2021-01-01
04;16;06;4;96;;Tuchola;0929724;0929724;2021-01-01
04;17;01;1;96;;Wąbrzeźno;0983652;0983652;2021-01-01
04;13;04;4;96;;Więcbork;0929820;0929820;2021-01-01
04;64;01;1;96;;Włocławek;0984752;0984752;2021-01-01
04;19;06;4;96;;Żnin;0929865;0929865;2021-01-01
