WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
06;07;02;4;96;;Annopol;0786213;0786213;2021-01-01
06;09;01;4;96;;Bełżyce;0955555;0955555;2021-01-01
06;61;01;1;96;;Biała Podlaska;0922018;0922018;2021-01-01
06;02;01;1;96;;Biłgoraj;0987673;0987673;2021-01-01
06;09;03;4;96;;Bychawa;0955621;0955621;2021-01-01
06;62;01;1;96;;Chełm;0929902;0929902;2021-01-01
06;16;01;1;96;;Dęblin;0955740;0955740;2021-01-01
06;02;05;4;96;;Frampol;0887196;0887196;2021-01-01
06;02;06;4;96;;Goraj;0887693;0887693;2021-01-01
06;04;01;1;96;;Hrubieszów;0987800;0987800;2021-01-01
06;05;05;4;96;;Janów Lubelski;0980493;0980493;2021-01-01
06;02;07;4;96;;Józefów;0987897;0987897;2021-01-01
06;12;02;4;96;;Józefów nad Wisłą;0382036;0382036;2021-01-01
06;08;05;4;96;;Kamionka;0382480;0382480;2021-01-01
06;14;04;4;96;;Kazimierz Dolny;0955905;0955905;2021-01-01
06;08;06;4;96;;Kock;0956069;0956069;2021-01-01
06;07;01;1;96;;Kraśnik;0956112;0956112;2021-01-01
06;20;04;4;96;;Krasnobród;0891281;0891281;2021-01-01
06;06;01;1;96;;Krasnystaw;0930070;0930070;2021-01-01
06;18;06;4;96;;Łaszczów;0893742;0893742;2021-01-01
06;10;03;4;96;;Łęczna;0956388;0956388;2021-01-01
06;08;01;1;96;;Lubartów;0956313;0956313;2021-01-01
06;63;01;1;96;;Lublin;0954700;0954700;2021-01-01
06;18;05;4;96;;Lubycza Królewska;0892889;0892889;2021-01-01
06;11;01;1;96;;Łuków;0975530;0975530;2021-01-01
06;01;01;1;96;;Międzyrzec Podlaski;0922159;0922159;2021-01-01
06;05;06;4;96;;Modliborzyce;0799760;0799760;2021-01-01
06;14;08;4;96;;Nałęczów;0956454;0956454;2021-01-01
06;12;05;4;96;;Opole Lubelskie;0956550;0956550;2021-01-01
06;08;10;4;96;;Ostrów Lubelski;0956690;0956690;2021-01-01
06;13;04;4;96;;Parczew;0922254;0922254;2021-01-01
06;17;03;4;96;;Piaski;0389386;0389386;2021-01-01
06;12;06;4;96;;Poniatowa;0956744;0956744;2021-01-01
06;14;01;1;96;;Puławy;0956810;0956810;2021-01-01
06;15;01;1;96;;Radzyń Podlaski;0922277;0922277;2021-01-01
06;03;15;4;96;;Rejowiec;0105667;0105667;2021-01-01
06;03;01;1;96;;Rejowiec Fabryczny;0930176;0930176;2021-01-01
06;16;04;4;96;;Ryki;0956980;0956980;2021-01-01
06;03;11;4;96;;Siedliszcze;0107821;0107821;2021-01-01
06;11;02;1;96;;Stoczek Łukowski;0975813;0975813;2021-01-01
06;17;01;1;96;;Świdnik;0957146;0957146;2021-01-01
06;20;13;4;96;;Szczebrzeszyn;0987934;0987934;2021-01-01
06;02;12;4;96;;Tarnogród;0988069;0988069;2021-01-01
06;01;02;1;96;;Terespol;0922343;0922343;2021-01-01
06;18;01;1;96;;Tomaszów Lubelski;0988075;0988075;2021-01-01
06;18;12;4;96;;Tyszowce;0903676;0903676;2021-01-01
06;07;08;4;96;;Urzędów;0392684;0392684;2021-01-01
06;19;01;1;96;;Włodawa;0930294;0930294;2021-01-01
06;64;01;1;96;;Zamość;0987510;0987510;2021-01-01
06;20;15;4;96;;Zwierzyniec;0988253;0988253;2021-01-01
