WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
08;09;01;4;96;;Babimost;0988342;0988342;2021-01-01
08;04;02;4;96;;Bytom Odrzański;0988359;0988359;2021-01-01
08;05;01;4;96;;Cybinka;0988365;0988365;2021-01-01
08;09;03;4;96;;Czerwieńsk;0988371;0988371;2021-01-01
08;06;01;4;96;;Dobiegniew;0935334;0935334;2021-01-01
08;06;02;4;96;;Drezdenko;0935400;0935400;2021-01-01
08;61;01;1;96;;Gorzów Wielkopolski;0935140;0935140;2021-01-01
08;10;01;1;96;;Gozdnica;0988388;0988388;2021-01-01
08;02;01;1;96;;Gubin;0988394;0988394;2021-01-01
08;10;04;4;96;;Iłowa;0988402;0988402;2021-01-01
08;11;04;4;96;;Jasień;0988431;0988431;2021-01-01
08;09;04;4;96;;Kargowa;0988448;0988448;2021-01-01
08;01;01;1;96;;Kostrzyn nad Odrą;0935452;0935452;2021-01-01
08;04;04;4;96;;Kożuchów;0988454;0988454;2021-01-01
08;02;06;4;96;;Krosno Odrzańskie;0988460;0988460;2021-01-01
08;11;01;1;96;;Łęknica;0988508;0988508;2021-01-01
08;07;02;4;96;;Lubniewice;0182969;0182969;2021-01-01
08;11;06;4;96;;Lubsko;0988490;0988490;2021-01-01
08;10;05;4;96;;Małomice;0988514;0988514;2021-01-01
08;03;02;4;96;;Międzyrzecz;0935529;0935529;2021-01-01
08;04;01;1;96;;Nowa Sól;0988520;0988520;2021-01-01
08;04;06;4;96;;Nowe Miasteczko;0988566;0988566;2021-01-01
08;09;05;4;96;;Nowogród Bobrzański;0988572;0988572;2021-01-01
08;05;03;4;96;;Ośno Lubuskie;0935587;0935587;2021-01-01
08;04;07;4;96;;Otyń;0912824;0912824;2021-01-01
08;05;04;4;96;;Rzepin;0935682;0935682;2021-01-01
08;03;05;4;96;;Skwierzyna;0935699;0935699;2021-01-01
08;12;01;4;96;;Sława;0988589;0988589;2021-01-01
08;05;05;4;96;;Słubice;0935736;0935736;2021-01-01
08;06;04;4;96;;Strzelce Krajeńskie;0935742;0935742;2021-01-01
08;09;06;4;96;;Sulechów;0988595;0988595;2021-01-01
08;07;04;4;96;;Sulęcin;0935759;0935759;2021-01-01
08;08;05;4;96;;Świebodzin;0988626;0988626;2021-01-01
08;12;02;4;96;;Szlichtyngowa;0954640;0954640;2021-01-01
08;10;07;4;96;;Szprotawa;0988603;0988603;2021-01-01
08;07;05;4;96;;Torzym;0915484;0915484;2021-01-01
08;03;06;4;96;;Trzciel;0935771;0935771;2021-01-01
08;01;07;4;96;;Witnica;0935794;0935794;2021-01-01
08;12;03;4;96;;Wschowa;0954685;0954685;2021-01-01
08;10;02;1;96;;Żagań;0988661;0988661;2021-01-01
08;11;02;1;96;;Żary;0988684;0988684;2021-01-01
08;08;06;4;96;;Zbąszynek;0988649;0988649;2021-01-01
08;62;01;1;96;;Zielona Góra;0988313;0988313;2021-01-01
