WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
10;20;04;4;96;;Aleksandrów Łódzki;0958654;0958654;2021-01-01
10;01;01;1;96;;Bełchatów;0967647;0967647;2021-01-01
10;13;02;4;96;;Biała Rawska;0977019;0977019;2021-01-01
10;14;02;4;96;;Błaszki;0976267;0976267;2021-01-01
10;21;01;1;96;;Brzeziny;0977025;0977025;2021-01-01
10;07;02;4;96;;Drzewica;0973346;0973346;2021-01-01
10;09;01;4;96;;Działoszyn;0703026;0703026;2021-01-01
10;20;01;1;96;;Głowno;0958714;0958714;2021-01-01
10;12;05;4;96;;Kamieńsk;0541180;0541180;2021-01-01
10;06;07;4;96;;Koluszki;0967831;0967831;2021-01-01
10;08;01;1;96;;Konstantynów Łódzki;0958826;0958826;2021-01-01
10;02;04;4;96;;Krośniewice;0969095;0969095;2021-01-01
10;02;01;1;96;;Kutno;0969103;0969103;2021-01-01
10;03;02;4;96;;Łask;0976296;0976296;2021-01-01
10;04;01;1;96;;Łęczyca;0969250;0969250;2021-01-01
10;61;01;1;96;;Łódź;0957650;0957650;2021-01-01
10;05;01;1;96;;Łowicz;0977031;0977031;2021-01-01
10;18;04;4;96;;Lututów;0706651;0706651;2021-01-01
10;07;04;4;96;;Opoczno;0967943;0967943;2021-01-01
10;20;02;1;96;;Ozorków;0958967;0958967;2021-01-01
10;08;02;1;96;;Pabianice;0959079;0959079;2021-01-01
10;09;04;4;96;;Pajęczno;0932330;0932330;2021-01-01
10;04;06;4;96;;Piątek;0573256;0573256;2021-01-01
10;62;01;1;96;;Piotrków Trybunalski;0967430;0967430;2021-01-01
10;11;03;4;96;;Poddębice;0976400;0976400;2021-01-01
10;12;11;4;96;;Przedbórz;0968026;0968026;2021-01-01
10;12;01;1;96;;Radomsko;0968078;0968078;2021-01-01
10;13;01;1;96;;Rawa Mazowiecka;0977077;0977077;2021-01-01
10;06;10;4;96;;Rzgów;0415787;0415787;2021-01-01
10;14;01;1;96;;Sieradz;0976050;0976050;2021-01-01
10;63;01;1;96;;Skierniewice;0976942;0976942;2021-01-01
10;20;08;4;96;;Stryków;0959240;0959240;2021-01-01
10;10;09;4;96;;Sulejów;0968233;0968233;2021-01-01
10;19;02;4;96;;Szadek;0976451;0976451;2021-01-01
10;16;01;1;96;;Tomaszów Mazowiecki;0968300;0968300;2021-01-01
10;06;11;4;96;;Tuszyn;0968569;0968569;2021-01-01
10;11;04;4;96;;Uniejów;0949359;0949359;2021-01-01
10;14;09;4;96;;Warta;0976557;0976557;2021-01-01
10;17;09;4;96;;Wieluń;0976586;0976586;2021-01-01
10;18;07;4;96;;Wieruszów;0937400;0937400;2021-01-01
10;10;11;4;96;;Wolbórz;0556648;0556648;2021-01-01
10;19;01;1;96;;Zduńska Wola;0976675;0976675;2021-01-01
10;01;08;4;96;;Zelów;0968664;0968664;2021-01-01
10;20;03;1;96;;Zgierz;0959263;0959263;2021-01-01
10;14;11;4;96;;Złoczew;0976830;0976830;2021-01-01
10;02;11;4;96;;Żychlin;0969391;0969391;2021-01-01
