WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
14;01;01;4;96;;Białobrzegi;0973286;0973286;2021-01-01
14;37;01;4;96;;Bieżuń;0111981;0111981;2021-01-01
14;32;01;4;96;;Błonie;0920249;0920249;2021-01-01
14;16;04;4;96;;Brok;0966151;0966151;2021-01-01
14;21;03;4;96;;Brwinów;0920284;0920284;2021-01-01
14;22;02;4;96;;Chorzele;0966270;0966270;2021-01-01
14;02;01;1;96;;Ciechanów;0930414;0930414;2021-01-01
14;20;04;4;96;;Czerwińsk nad Wisłą;0561885;0561885;2021-01-01
14;19;05;4;96;;Drobin;0563223;0563223;2021-01-01
14;19;06;4;96;;Gąbin;0968871;0968871;2021-01-01
14;03;01;1;96;;Garwolin;0975285;0975285;2021-01-01
14;02;03;4;96;;Glinojeck;0114620;0114620;2021-01-01
14;18;01;4;96;;Góra Kalwaria;0920321;0920321;2021-01-01
14;04;01;1;96;;Gostynin;0968977;0968977;2021-01-01
14;05;04;4;96;;Grodzisk Mazowiecki;0920380;0920380;2021-01-01
14;06;05;4;96;;Grójec;0973352;0973352;2021-01-01
14;12;07;4;96;;Halinów;0002766;0002766;2021-01-01
14;25;03;4;96;;Iłża;0973375;0973375;2021-01-01
14;17;01;1;96;;Józefów;0920404;0920404;2021-01-01
14;12;09;4;96;;Kałuszyn;0975380;0975380;2021-01-01
14;17;04;4;96;;Karczew;0920500;0920500;2021-01-01
14;34;01;1;96;;Kobyłka;0920539;0920539;2021-01-01
14;18;02;4;96;;Konstancin-Jeziorna;0920634;0920634;2021-01-01
14;29;05;4;96;;Kosów Lacki;0676128;0676128;2021-01-01
14;07;05;4;96;;Kozienice;0973524;0973524;2021-01-01
14;03;02;1;96;;Łaskarzew;0975434;0975434;2021-01-01
14;08;01;1;96;;Legionowo;0920806;0920806;2021-01-01
14;09;03;4;96;;Lipsko;0973613;0973613;2021-01-01
14;33;05;4;96;;Łochów;0975492;0975492;2021-01-01
14;32;05;4;96;;Łomianki;0920864;0920864;2021-01-01
