WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
16;02;01;4;96;;Baborów;0965200;0965200;2021-01-01
16;10;01;4;96;;Biała;0965223;0965223;2021-01-01
16;01;01;1;96;;Brzeg;0965252;0965252;2021-01-01
16;04;01;4;96;;Byczyna;0965275;0965275;2021-01-01
16;08;01;4;96;;Dobrodzień;0931454;0931454;2021-01-01
16;10;02;4;96;;Głogówek;0965281;0965281;2021-01-01
16;02;03;4;96;;Głubczyce;0965329;0965329;2021-01-01
16;07;01;4;96;;Głuchołazy;0965341;0965341;2021-01-01
16;05;01;4;96;;Gogolin;0965364;0965364;2021-01-01
16;08;02;4;96;;Gorzów Śląski;0931490;0931490;2021-01-01
16;01;03;4;96;;Grodków;0965401;0965401;2021-01-01
16;03;01;1;96;;Kędzierzyn-Koźle;0965424;0965424;2021-01-01
16;02;04;4;96;;Kietrz;0965602;0965602;2021-01-01
16;04;02;4;96;;Kluczbork;0965619;0965619;2021-01-01
16;11;03;4;96;;Kolonowskie;0965631;0965631;2021-01-01
16;07;03;4;96;;Korfantów;0496946;0496946;2021-01-01
16;05;02;4;96;;Krapkowice;0965677;0965677;2021-01-01
16;11;04;4;96;;Leśnica;0965714;0965714;2021-01-01
16;01;04;4;96;;Lewin Brzeski;0965720;0965720;2021-01-01
16;06;02;4;96;;Namysłów;0965743;0965743;2021-01-01
16;09;07;4;96;;Niemodlin;0965750;0965750;2021-01-01
16;07;05;4;96;;Nysa;0965789;0965789;2021-01-01
16;08;03;4;96;;Olesno;0932293;0932293;2021-01-01
16;61;01;1;96;;Opole;0965016;0965016;2021-01-01
16;07;06;4;96;;Otmuchów;0965832;0965832;2021-01-01
16;09;08;4;96;;Ozimek;0965849;0965849;2021-01-01
16;07;07;4;96;;Paczków;0965855;0965855;2021-01-01
16;08;04;4;96;;Praszka;0932353;0932353;2021-01-01
16;09;10;4;96;;Prószków;0502523;0502523;2021-01-01
16;10;04;4;96;;Prudnik;0965878;0965878;2021-01-01
16;11;05;4;96;;Strzelce Opolskie;0965915;0965915;2021-01-01
16;09;12;4;96;;Tułowice;0504090;0504090;2021-01-01
16;11;06;4;96;;Ujazd;0965967;0965967;2021-01-01
16;04;04;4;96;;Wołczyn;0965996;0965996;2021-01-01
16;11;07;4;96;;Zawadzkie;0966004;0966004;2021-01-01
16;05;05;4;96;;Zdzieszowice;0966040;0966040;2021-01-01
