WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
18;20;01;4;96;;Baranów Sandomierski;0980352;0980352;2021-01-01
18;16;02;4;96;;Błażowa;0974280;0974280;2021-01-01
18;16;03;4;96;;Boguchwała;0644750;0644750;2021-01-01
18;03;02;4;96;;Brzostek;0814493;0814493;2021-01-01
18;02;01;4;96;;Brzozów;0952841;0952841;2021-01-01
18;09;02;4;96;;Cieszanów;0972051;0972051;2021-01-01
18;03;01;1;96;;Dębica;0982233;0982233;2021-01-01
18;13;02;4;96;;Dubiecko;0600496;0600496;2021-01-01
18;07;02;4;96;;Dukla;0952924;0952924;2021-01-01
18;16;01;1;96;;Dynów;0972080;0972080;2021-01-01
18;16;06;4;96;;Głogów Małopolski;0974328;0974328;2021-01-01
18;07;03;4;96;;Iwonicz-Zdrój;0953007;0953007;2021-01-01
18;04;01;1;96;;Jarosław;0972192;0972192;2021-01-01
18;05;01;1;96;;Jasło;0953059;0953059;2021-01-01
18;07;04;4;96;;Jedlicze;0953237;0953237;2021-01-01
18;14;05;4;96;;Kańczuga;0972424;0972424;2021-01-01
18;05;05;4;96;;Kołaczyce;0353968;0353968;2021-01-01
18;06;02;4;96;;Kolbuszowa;0974392;0974392;2021-01-01
18;61;01;1;96;;Krosno;0952410;0952410;2021-01-01
18;10;01;1;96;;Łańcut;0974529;0974529;2021-01-01
18;21;03;4;96;;Lesko;0953409;0953409;2021-01-01
18;08;01;1;96;;Leżajsk;0974400;0974400;2021-01-01
18;09;01;1;96;;Lubaczów;0972447;0972447;2021-01-01
18;11;01;1;96;;Mielec;0974618;0974618;2021-01-01
18;09;05;4;96;;Narol;0606984;0606984;2021-01-01
18;12;05;4;96;;Nisko;0980530;0980530;2021-01-01
18;20;04;4;96;;Nowa Dęba;0980636;0980636;2021-01-01
18;08;05;4;96;;Nowa Sarzyna;0974788;0974788;2021-01-01
18;09;06;4;96;;Oleszyce;0972507;0972507;2021-01-01
18;03;06;4;96;;Pilzno;0982345;0982345;2021-01-01
18;04;07;4;96;;Pruchnik;0608316;0608316;2021-01-01
18;11;07;4;96;;Przecław;0658828;0658828;2021-01-01
18;62;01;1;96;;Przemyśl;0971672;0971672;2021-01-01
18;14;01;1;96;;Przeworsk;0972513;0972513;2021-01-01
18;11;08;4;96;;Radomyśl Wielki;0982411;0982411;2021-01-01
18;04;02;1;96;;Radymno;0972594;0972594;2021-01-01
18;15;03;4;96;;Ropczyce;0974825;0974825;2021-01-01
18;12;06;4;96;;Rudnik nad Sanem;0980850;0980850;2021-01-01
18;07;08;4;96;;Rymanów;0953421;0953421;2021-01-01
18;63;01;1;96;;Rzeszów;0974133;0974133;2021-01-01
18;17;01;1;96;;Sanok;0953510;0953510;2021-01-01
18;15;04;4;96;;Sędziszów Małopolski;0974937;0974937;2021-01-01
18;14;07;4;96;;Sieniawa;0972683;0972683;2021-01-01
18;16;11;4;96;;Sokołów Małopolski;0974966;0974966;2021-01-01
18;18;01;1;96;;Stalowa Wola;0981133;0981133;2021-01-01
18;19;04;4;96;;Strzyżów;0975010;0975010;2021-01-01
18;64;01;1;96;;Tarnobrzeg;0980085;0980085;2021-01-01
18;16;14;4;96;;Tyczyn;0975078;0975078;2021-01-01
18;12;07;4;96;;Ulanów;0981386;0981386;2021-01-01
18;01;08;4;96;;Ustrzyki Dolne;0953817;0953817;2021-01-01
18;17;07;4;96;;Zagórz;0953881;0953881;2021-01-01
18;18;05;4;96;;Zaklików;0810615;0810615;2021-01-01
