WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
20;01;01;1;96;;Augustów;0977539;0977539;2021-01-01
20;61;01;1;96;;Białystok;0922410;0922410;2021-01-01
20;03;01;1;96;;Bielsk Podlaski;0922685;0922685;2021-01-01
20;03;02;1;96;;Brańsk;0922745;0922745;2021-01-01
20;02;01;4;96;;Choroszcz;0922811;0922811;2021-01-01
20;13;02;4;96;;Ciechanowiec;0957324;0957324;2021-01-01
20;02;02;4;96;;Czarna Białostocka;0922886;0922886;2021-01-01
20;13;03;4;96;;Czyżew;0395984;0395984;2021-01-01
20;11;01;4;96;;Dąbrowa Białostocka;0922923;0922923;2021-01-01
20;10;02;4;96;;Drohiczyn;0922998;0922998;2021-01-01
20;08;01;4;96;;Goniądz;0957360;0957360;2021-01-01
20;04;01;1;96;;Grajewo;0957376;0957376;2021-01-01
20;05;01;1;96;;Hajnówka;0923035;0923035;2021-01-01
20;07;01;4;96;;Jedwabne;0957382;0957382;2021-01-01
20;05;07;4;96;;Kleszczele;0031727;0031727;2021-01-01
20;08;04;4;96;;Knyszyn;0923213;0923213;2021-01-01
20;06;01;1;96;;Kolno;0957420;0957420;2021-01-01
20;11;04;4;96;;Krynki;0032655;0032655;2021-01-01
20;02;06;4;96;;Łapy;0923271;0923271;2021-01-01
20;01;04;4;96;;Lipsk;0977717;0977717;2021-01-01
20;62;01;1;96;;Łomża;0957241;0957241;2021-01-01
20;02;07;4;96;;Michałowo;0034507;0034507;2021-01-01
20;08;06;4;96;;Mońki;0923348;0923348;2021-01-01
20;07;04;4;96;;Nowogród;0957459;0957459;2021-01-01
20;04;04;4;96;;Rajgród;0957465;0957465;2021-01-01
20;09;01;1;96;;Sejny;0977918;0977918;2021-01-01
20;10;01;1;96;;Siemiatycze;0923360;0923360;2021-01-01
20;11;08;4;96;;Sokółka;0923443;0923443;2021-01-01
20;06;05;4;96;;Stawiski;0957548;0957548;2021-01-01
20;11;09;4;96;;Suchowola;0041312;0041312;2021-01-01
20;02;09;4;96;;Supraśl;0923472;0923472;2021-01-01
20;02;10;4;96;;Suraż;0923510;0923510;2021-01-01
20;63;01;1;96;;Suwałki;0977456;0977456;2021-01-01
20;04;05;4;96;;Szczuczyn;0957560;0957560;2021-01-01
20;13;09;4;96;;Szepietowo;0407380;0407380;2021-01-01
20;02;12;4;96;;Tykocin;0043446;0043446;2021-01-01
20;02;13;4;96;;Wasilków;0923526;0923526;2021-01-01
20;13;01;1;96;;Wysokie Mazowieckie;0957620;0957620;2021-01-01
20;02;14;4;96;;Zabłudów;0923578;0923578;2021-01-01
20;14;01;1;96;;Zambrów;0957637;0957637;2021-01-01
