WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
22;02;02;4;96;;Brusy;0928848;0928848;2021-01-01
22;01;02;4;96;;Bytów;0977290;0977290;2021-01-01
22;02;01;1;96;;Chojnice;0928854;0928854;2021-01-01
22;13;01;4;96;;Czarna Woda;0162139;0162139;2021-01-01
22;03;02;4;96;;Czarne;0977309;0977309;2021-01-01
22;02;04;4;96;;Czersk;0928920;0928920;2021-01-01
22;03;01;1;96;;Człuchów;0977321;0977321;2021-01-01
22;03;04;4;96;;Debrzno;0977338;0977338;2021-01-01
22;16;01;4;96;;Dzierzgoń;0932726;0932726;2021-01-01
22;61;01;1;96;;Gdańsk;0933016;0933016;2021-01-01
22;62;01;1;96;;Gdynia;0934100;0934100;2021-01-01
22;14;02;4;96;;Gniew;0934470;0934470;2021-01-01
22;11;01;1;96;;Hel;0934501;0934501;2021-01-01
22;11;02;4;96;;Jastarnia;0934518;0934518;2021-01-01
22;05;02;4;96;;Kartuzy;0934547;0934547;2021-01-01
22;12;05;4;96;;Kępice;0977344;0977344;2021-01-01
22;06;01;1;96;;Kościerzyna;0934553;0934553;2021-01-01
22;10;01;1;96;;Krynica Morska;0932755;0932755;2021-01-01
22;07;01;1;96;;Kwidzyn;0932790;0932790;2021-01-01
22;08;02;1;96;;Łeba;0977380;0977380;2021-01-01
22;08;01;1;96;;Lębork;0977373;0977373;2021-01-01
22;09;01;1;96;;Malbork;0932815;0932815;2021-01-01
22;01;06;4;96;;Miastko;0977404;0977404;2021-01-01
22;10;02;4;96;;Nowy Dwór Gdański;0932880;0932880;2021-01-01
22;09;07;4;96;;Nowy Staw;0932904;0932904;2021-01-01
22;14;04;4;96;;Pelplin;0934599;0934599;2021-01-01
22;07;04;4;96;;Prabuty;0932962;0932962;2021-01-01
22;04;01;1;96;;Pruszcz Gdański;0934620;0934620;2021-01-01
22;11;03;1;96;;Puck;0934636;0934636;2021-01-01
22;15;01;1;96;;Reda;0934659;0934659;2021-01-01
22;15;02;1;96;;Rumia;0934694;0934694;2021-01-01
22;13;09;4;96;;Skarszewy;0934754;0934754;2021-01-01
22;13;02;1;96;;Skórcz;0934777;0934777;2021-01-01
22;63;01;1;96;;Słupsk;0977278;0977278;2021-01-01
22;64;01;1;96;;Sopot;0934783;0934783;2021-01-01
22;13;03;1;96;;Starogard Gdański;0934837;0934837;2021-01-01
22;16;05;4;96;;Sztum;0932991;0932991;2021-01-01
22;14;01;1;96;;Tczew;0934903;0934903;2021-01-01
22;12;01;1;96;;Ustka;0977427;0977427;2021-01-01
22;15;03;1;96;;Wejherowo;0934984;0934984;2021-01-01
22;11;04;4;96;;Władysławowo;0935015;0935015;2021-01-01
22;05;08;4;96;;Żukowo;0935127;0935127;2021-01-01
