WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
24;01;01;1;96;;Będzin;0937899;0937899;2021-01-01
24;61;01;1;96;;Bielsko-Biała;0923584;0923584;2021-01-01
24;14;01;1;96;;Bieruń;0938077;0938077;2021-01-01
24;04;01;4;96;;Blachownia;0931365;0931365;2021-01-01
24;62;01;1;96;;Bytom;0938670;0938670;2021-01-01
24;63;01;1;96;;Chorzów;0938887;0938887;2021-01-01
24;03;01;1;96;;Cieszyn;0924158;0924158;2021-01-01
24;02;04;4;96;;Czechowice-Dziedzice;0939094;0939094;2021-01-01
24;01;02;1;96;;Czeladź;0939349;0939349;2021-01-01
24;12;01;4;96;;Czerwionka-Leszczyny;0939409;0939409;2021-01-01
24;64;01;1;96;;Częstochowa;0930868;0930868;2021-01-01
24;65;01;1;96;;Dąbrowa Górnicza;0939473;0939473;2021-01-01
24;66;01;1;96;;Gliwice;0940000;0940000;2021-01-01
24;14;02;1;96;;Imielin;0941582;0941582;2021-01-01
24;67;01;1;96;;Jastrzębie-Zdrój;0940163;0940163;2021-01-01
24;68;01;1;96;;Jaworzno;0940335;0940335;2021-01-01
24;13;01;1;96;;Kalety;0931589;0931589;2021-01-01
24;69;01;1;96;;Katowice;0937474;0937474;2021-01-01
24;06;01;4;96;;Kłobuck;0931678;0931678;2021-01-01
24;05;01;1;96;;Knurów;0940849;0940849;2021-01-01
24;04;06;4;96;;Koniecpol;0931750;0931750;2021-01-01
24;09;02;4;96;;Koziegłowy;0931827;0931827;2021-01-01
24;11;03;4;96;;Krzanowice;0215427;0215427;2021-01-01
24;06;02;4;96;;Krzepice;0931862;0931862;2021-01-01
24;11;05;4;96;;Kuźnia Raciborska;0940884;0940884;2021-01-01
24;08;01;1;96;;Łaziska Górne;0941139;0941139;2021-01-01
24;16;05;4;96;;Łazy;0941197;0941197;2021-01-01
24;14;03;1;96;;Lędziny;0940890;0940890;2021-01-01
24;07;01;1;96;;Lubliniec;0931945;0931945;2021-01-01
24;13;02;1;96;;Miasteczko Śląskie;0943902;0943902;2021-01-01
24;08;02;1;96;;Mikołów;0941286;0941286;2021-01-01
24;70;01;1;96;;Mysłowice;0941487;0941487;2021-01-01
24;09;01;1;96;;Myszków;0932057;0932057;2021-01-01
24;16;06;4;96;;Ogrodzieniec;0941748;0941748;2021-01-01
24;08;03;1;96;;Orzesze;0941984;0941984;2021-01-01
24;71;01;1;96;;Piekary Śląskie;0942104;0942104;2021-01-01
24;16;07;4;96;;Pilica;0219566;0219566;2021-01-01
24;16;01;1;96;;Poręba;0942216;0942216;2021-01-01
24;10;05;4;96;;Pszczyna;0942222;0942222;2021-01-01
24;15;01;1;96;;Pszów;0945083;0945083;2021-01-01
24;05;02;1;96;;Pyskowice;0942417;0942417;2021-01-01
24;11;01;1;96;;Racibórz;0942469;0942469;2021-01-01
24;15;02;1;96;;Radlin;0945108;0945108;2021-01-01
24;13;03;1;96;;Radzionków;0938806;0938806;2021-01-01
24;72;01;1;96;;Ruda Śląska;0942630;0942630;2021-01-01
24;73;01;1;96;;Rybnik;0942765;0942765;2021-01-01
24;15;03;1;96;;Rydułtowy;0943121;0943121;2021-01-01
24;74;01;1;96;;Siemianowice Śląskie;0943150;0943150;2021-01-01
24;01;07;4;96;;Siewierz;0943204;0943204;2021-01-01
24;03;10;4;96;;Skoczów;0925198;0925198;2021-01-01
24;01;08;1;96;;Sławków;0943285;0943285;2021-01-01
24;05;06;4;96;;Sośnicowice;0221936;0221936;2021-01-01
24;75;01;1;96;;Sosnowiec;0943428;0943428;2021-01-01
24;03;11;4;96;;Strumień;0925258;0925258;2021-01-01
24;76;01;1;96;;Świętochłowice;0943724;0943724;2021-01-01
24;16;08;4;96;;Szczekociny;0932413;0932413;2021-01-01
24;02;01;1;96;;Szczyrk;0925850;0925850;2021-01-01
24;13;04;1;96;;Tarnowskie Góry;0943813;0943813;2021-01-01
24;05;07;4;96;;Toszek;0944126;0944126;2021-01-01
24;77;01;1;96;;Tychy;0944534;0944534;2021-01-01
24;03;02;1;96;;Ustroń;0926677;0926677;2021-01-01
24;02;09;4;96;;Wilamowice;0926996;0926996;2021-01-01
24;03;03;1;96;;Wisła;0927091;0927091;2021-01-01
24;15;04;1;96;;Wodzisław Śląski;0944853;0944853;2021-01-01
24;01;03;1;96;;Wojkowice;0945232;0945232;2021-01-01
24;07;08;4;96;;Woźniki;0932494;0932494;2021-01-01
24;78;01;1;96;;Zabrze;0945380;0945380;2021-01-01
24;09;05;4;96;;Żarki;0932643;0932643;2021-01-01
24;16;02;1;96;;Zawiercie;0945491;0945491;2021-01-01
24;79;01;1;96;;Żory;0945746;0945746;2021-01-01
24;17;01;1;96;;Żywiec;0927642;0927642;2021-01-01
