WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
26;04;02;4;96;;Bodzentyn;0230102;0230102;2021-01-01
26;01;01;4;96;;Busko-Zdrój;0946651;0946651;2021-01-01
26;04;03;4;96;;Chęciny;0946846;0946846;2021-01-01
26;04;04;4;96;;Chmielnik;0946906;0946906;2021-01-01
26;07;04;4;96;;Ćmielów;0980435;0980435;2021-01-01
26;04;05;4;96;;Daleszyce;0236429;0236429;2021-01-01
26;08;01;4;96;;Działoszyce;0946987;0946987;2021-01-01
26;02;02;4;96;;Jędrzejów;0947030;0947030;2021-01-01
26;03;03;4;96;;Kazimierza Wielka;0947076;0947076;2021-01-01
26;61;01;1;96;;Kielce;0945930;0945930;2021-01-01
26;09;03;4;96;;Klimontów;0795933;0795933;2021-01-01
26;05;03;4;96;;Końskie;0947136;0947136;2021-01-01
26;09;04;4;96;;Koprzywnica;0796588;0796588;2021-01-01
26;07;05;4;96;;Kunów;0947202;0947202;2021-01-01
26;04;07;4;96;;Łagów;0247670;0247670;2021-01-01
26;02;03;4;96;;Małogoszcz;0249343;0249343;2021-01-01
26;04;12;4;96;;Morawica;0254226;0254226;2021-01-01
26;04;13;4;96;;Nowa Słupia;0255510;0255510;2021-01-01
26;01;03;4;96;;Nowy Korczyn;0256142;0256142;2021-01-01
26;12;03;4;96;;Oleśnica;0257118;0257118;2021-01-01
26;06;04;4;96;;Opatów;0980671;0980671;2021-01-01
26;03;04;4;96;;Opatowiec;0257963;0257963;2021-01-01
26;12;04;4;96;;Osiek;0802202;0802202;2021-01-01
26;07;01;1;96;;Ostrowiec Świętokrzyski;0947308;0947308;2021-01-01
26;06;05;4;96;;Ożarów;0980777;0980777;2021-01-01
26;01;04;4;96;;Pacanów;0258715;0258715;2021-01-01
26;04;15;4;96;;Pierzchnica;0262310;0262310;2021-01-01
26;08;04;4;96;;Pińczów;0947580;0947580;2021-01-01
26;12;05;4;96;;Połaniec;0980783;0980783;2021-01-01
26;05;04;4;96;;Radoszyce;0264986;0264986;2021-01-01
26;09;01;1;96;;Sandomierz;0980926;0980926;2021-01-01
26;02;06;4;96;;Sędziszów;0947610;0947610;2021-01-01
26;03;05;4;96;;Skalbmierz;0947627;0947627;2021-01-01
26;10;01;1;96;;Skarżysko-Kamienna;0947716;0947716;2021-01-01
26;05;08;4;96;;Stąporków;0948271;0948271;2021-01-01
26;11;01;1;96;;Starachowice;0947930;0947930;2021-01-01
26;12;07;4;96;;Staszów;0981274;0981274;2021-01-01
26;01;06;4;96;;Stopnica;0272951;0272951;2021-01-01
26;10;05;4;96;;Suchedniów;0948360;0948360;2021-01-01
26;12;08;4;96;;Szydłów;0275062;0275062;2021-01-01
26;11;05;4;96;;Wąchock;0276802;0276802;2021-01-01
26;01;08;4;96;;Wiślica;0277470;0277470;2021-01-01
26;13;06;4;96;;Włoszczowa;0948472;0948472;2021-01-01
26;02;09;4;96;;Wodzisław;0279686;0279686;2021-01-01
26;09;09;4;96;;Zawichost;0981417;0981417;2021-01-01
