WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
32;10;01;4;96;;Barlinek;0935268;0935268;2021-01-01
32;15;02;4;96;;Barwice;0949649;0949649;2021-01-01
32;01;01;1;96;;Białogard;0949690;0949690;2021-01-01
32;15;03;4;96;;Biały Bór;0949767;0949767;2021-01-01
32;09;03;4;96;;Bobolice;0949804;0949804;2021-01-01
32;15;04;4;96;;Borne Sulinowo;0988715;0988715;2021-01-01
32;06;02;4;96;;Cedynia;0978734;0978734;2021-01-01
32;14;02;4;96;;Chociwel;0978757;0978757;2021-01-01
32;06;03;4;96;;Chojna;0978786;0978786;2021-01-01
32;02;02;4;96;;Choszczno;0935280;0935280;2021-01-01
32;03;01;4;96;;Czaplinek;0949810;0949810;2021-01-01
32;17;02;4;96;;Człopa;0966808;0966808;2021-01-01
32;13;01;1;96;;Darłowo;0949833;0949833;2021-01-01
32;10;03;4;96;;Dębno;0935305;0935305;2021-01-01
32;18;01;4;96;;Dobra;0978852;0978852;2021-01-01
32;14;03;4;96;;Dobrzany;0978875;0978875;2021-01-01
32;02;03;4;96;;Drawno;0935357;0935357;2021-01-01
32;03;02;4;96;;Drawsko Pomorskie;0949862;0949862;2021-01-01
32;07;01;4;96;;Dziwnów;0774782;0774782;2021-01-01
32;07;02;4;96;;Golczewo;0978881;0978881;2021-01-01
32;04;02;4;96;;Goleniów;0978929;0978929;2021-01-01
32;08;03;4;96;;Gościno;0306236;0306236;2021-01-01
32;05;02;4;96;;Gryfice;0979053;0979053;2021-01-01
32;06;04;4;96;;Gryfino;0979076;0979076;2021-01-01
32;14;05;4;96;;Ińsko;0979099;0979099;2021-01-01
32;03;03;4;96;;Kalisz Pomorski;0949916;0949916;2021-01-01
32;07;03;4;96;;Kamień Pomorski;0979113;0979113;2021-01-01
32;01;03;4;96;;Karlino;0949968;0949968;2021-01-01
32;08;01;1;96;;Kołobrzeg;0950026;0950026;2021-01-01
32;61;01;1;96;;Koszalin;0949448;0949448;2021-01-01
32;12;03;4;96;;Lipiany;0979120;0979120;2021-01-01
32;18;02;4;96;;Łobez;0979136;0979136;2021-01-01
32;04;03;4;96;;Maszewo;0979188;0979188;2021-01-01
32;07;04;4;96;;Międzyzdroje;0979248;0979248;2021-01-01
32;09;05;4;96;;Mielno;0308353;0308353;2021-01-01
32;06;05;4;96;;Mieszkowice;0979202;0979202;2021-01-01
32;17;03;4;96;;Mirosławiec;0967038;0967038;2021-01-01
32;06;06;4;96;;Moryń;0979283;0979283;2021-01-01
32;10;04;4;96;;Myślibórz;0935558;0935558;2021-01-01
32;11;03;4;96;;Nowe Warpno;0979308;0979308;2021-01-01
32;04;04;4;96;;Nowogard;0979389;0979389;2021-01-01
32;02;05;4;96;;Pełczyce;0935601;0935601;2021-01-01
32;05;04;4;96;;Płoty;0979432;0979432;2021-01-01
32;09;06;4;96;;Polanów;0950115;0950115;2021-01-01
32;16;03;4;96;;Połczyn-Zdrój;0950144;0950144;2021-01-01
32;11;04;4;96;;Police;0979449;0979449;2021-01-01
32;12;05;4;96;;Pyrzyce;0979515;0979515;2021-01-01
32;02;06;4;96;;Recz;0935653;0935653;2021-01-01
32;18;04;4;96;;Resko;0979580;0979580;2021-01-01
32;09;07;4;96;;Sianów;0950240;0950240;2021-01-01
32;13;02;1;96;;Sławno;0977410;0977410;2021-01-01
32;14;01;1;96;;Stargard;0979596;0979596;2021-01-01
32;04;07;4;96;;Stepnica;0783864;0783864;2021-01-01
32;14;11;4;96;;Suchań;0979716;0979716;2021-01-01
32;16;01;1;96;;Świdwin;0950322;0950322;2021-01-01
32;63;01;1;96;;Świnoujście;0979722;0979722;2021-01-01
32;62;01;1;96;;Szczecin;0977976;0977976;2021-01-01
32;15;01;1;96;;Szczecinek;0950262;0950262;2021-01-01
32;06;08;4;96;;Trzcińsko-Zdrój;0979952;0979952;2021-01-01
32;05;08;4;96;;Trzebiatów;0979969;0979969;2021-01-01
32;17;04;4;96;;Tuczno;0967185;0967185;2021-01-01
32;01;04;4;96;;Tychowo;0313839;0313839;2021-01-01
32;17;01;1;96;;Wałcz;0967245;0967245;2021-01-01
32;18;05;4;96;;Węgorzyno;0980062;0980062;2021-01-01
32;07;06;4;96;;Wolin;0980079;0980079;2021-01-01
32;03;06;4;96;;Złocieniec;0950374;0950374;2021-01-01
