WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
28;14;01;4;96;;Barczewo;0964577;0964577;2021-01-01
28;01;01;1;96;;Bartoszyce;0964583;0964583;2021-01-01
28;16;01;4;96;;Biała Piska;0977640;0977640;2021-01-01
28;14;02;4;96;;Biskupiec;0964590;0964590;2021-01-01
28;01;04;4;96;;Bisztynek;0964608;0964608;2021-01-01
28;02;01;1;96;;Braniewo;0932710;0932710;2021-01-01
28;14;03;4;96;;Dobre Miasto;0964614;0964614;2021-01-01
28;03;01;1;96;;Działdowo;0930609;0930609;2021-01-01
28;61;01;1;96;;Elbląg;0932703;0932703;2021-01-01
28;05;01;1;96;;Ełk;0977670;0977670;2021-01-01
28;02;03;4;96;;Frombork;0932732;0932732;2021-01-01
28;06;01;1;96;;Giżycko;0977692;0977692;2021-01-01
28;18;03;4;96;;Gołdap;0977700;0977700;2021-01-01
28;01;02;1;96;;Górowo Iławeckie;0964643;0964643;2021-01-01
28;07;01;1;96;;Iława;0964650;0964650;2021-01-01
28;14;06;4;96;;Jeziorany;0964703;0964703;2021-01-01
28;08;01;1;96;;Kętrzyn;0964710;0964710;2021-01-01
28;07;04;4;96;;Kisielice;0932749;0932749;2021-01-01
28;08;04;4;96;;Korsze;0964726;0964726;2021-01-01
28;03;04;4;96;;Lidzbark;0930644;0930644;2021-01-01
28;09;01;1;96;;Lidzbark Warmiński;0964732;0964732;2021-01-01
28;07;02;1;96;;Lubawa;0964749;0964749;2021-01-01
28;10;02;4;96;;Mikołajki;0977723;0977723;2021-01-01
28;15;06;4;96;;Miłakowo;0481761;0481761;2021-01-01
28;15;07;4;96;;Miłomłyn;0482192;0482192;2021-01-01
28;04;06;4;96;;Młynary;0932873;0932873;2021-01-01
28;15;08;4;96;;Morąg;0964850;0964850;2021-01-01
28;10;01;1;96;;Mrągowo;0964896;0964896;2021-01-01
28;11;04;4;96;;Nidzica;0964904;0964904;2021-01-01
28;12;01;1;96;;Nowe Miasto Lubawskie;0983563;0983563;2021-01-01
28;13;04;4;96;;Olecko;0977798;0977798;2021-01-01
28;62;01;1;96;;Olsztyn;0964465;0964465;2021-01-01
28;14;09;4;96;;Olsztynek;0964910;0964910;2021-01-01
28;09;05;4;96;;Orneta;0932910;0932910;2021-01-01
28;16;02;4;96;;Orzysz;0977806;0977806;2021-01-01
28;15;01;1;96;;Ostróda;0964927;0964927;2021-01-01
28;04;07;4;96;;Pasłęk;0932927;0932927;2021-01-01
28;17;04;4;96;;Pasym;0485813;0485813;2021-01-01
28;02;05;4;96;;Pieniężno;0932956;0932956;2021-01-01
28;16;03;4;96;;Pisz;0977835;0977835;2021-01-01
28;08;05;4;96;;Reszel;0964979;0964979;2021-01-01
28;16;04;4;96;;Ruciane-Nida;0977841;0977841;2021-01-01
28;06;08;4;96;;Ryn;0977893;0977893;2021-01-01
28;01;06;4;96;;Sępopol;0964985;0964985;2021-01-01
28;07;06;4;96;;Susz;0932979;0932979;2021-01-01
28;17;01;1;96;;Szczytno;0964991;0964991;2021-01-01
28;04;09;4;96;;Tolkmicko;0933000;0933000;2021-01-01
28;19;03;4;96;;Węgorzewo;0977947;0977947;2021-01-01
28;17;08;4;96;;Wielbark;0490470;0490470;2021-01-01
28;07;07;4;96;;Zalewo;0965000;0965000;2021-01-01
