WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
30;22;01;4;96;;Bojanowo;0954308;0954308;2021-01-01
30;04;01;4;96;;Borek Wielkopolski;0954343;0954343;2021-01-01
30;01;02;4;96;;Budzyń;0524393;0524393;2021-01-01
30;21;03;4;96;;Buk;0970520;0970520;2021-01-01
30;20;01;4;96;;Chocz;0195564;0195564;2021-01-01
30;01;01;1;96;;Chodzież;0966760;0966760;2021-01-01
30;02;01;1;96;;Czarnków;0966777;0966777;2021-01-01
30;11;02;4;96;;Czempiń;0970537;0970537;2021-01-01
30;03;02;4;96;;Czerniejewo;0970543;0970543;2021-01-01
30;09;04;4;96;;Dąbie;0948992;0948992;2021-01-01
30;27;03;4;96;;Dobra;0949000;0949000;2021-01-01
30;20;03;4;96;;Dobrzyca;0196380;0196380;2021-01-01
30;26;02;4;96;;Dolsk;0970589;0970589;2021-01-01
30;03;01;1;96;;Gniezno;0970632;0970632;2021-01-01
30;28;03;4;96;;Gołańcz;0966820;0966820;2021-01-01
30;10;01;4;96;;Golina;0949017;0949017;2021-01-01
30;04;02;4;96;;Gostyń;0954395;0954395;2021-01-01
30;18;03;4;96;;Grabów nad Prosną;0936760;0936760;2021-01-01
30;05;02;4;96;;Grodzisk Wielkopolski;0970810;0970810;2021-01-01
30;06;01;4;96;;Jaraczewo;0199088;0199088;2021-01-01
30;06;02;4;96;;Jarocin;0936776;0936776;2021-01-01
30;31;02;4;96;;Jastrowie;0966843;0966843;2021-01-01
30;22;02;4;96;;Jutrosin;0954461;0954461;2021-01-01
30;61;01;1;96;;Kalisz;0936569;0936569;2021-01-01
30;08;03;4;96;;Kępno;0936871;0936871;2021-01-01
30;03;05;4;96;;Kłecko;0970840;0970840;2021-01-01
30;10;04;4;96;;Kleczew;0949023;0949023;2021-01-01
30;09;06;4;96;;Kłodawa;0949046;0949046;2021-01-01
30;12;02;4;96;;Kobylin;0954478;0954478;2021-01-01
30;09;01;1;96;;Koło;0949052;0949052;2021-01-01
30;62;01;1;96;;Konin;0948667;0948667;2021-01-01
30;21;09;4;96;;Kórnik;0970922;0970922;2021-01-01
30;11;01;1;96;;Kościan;0954484;0954484;2021-01-01
30;21;08;4;96;;Kostrzyn;0970885;0970885;2021-01-01
30;12;03;4;96;;Koźmin Wielkopolski;0936925;0936925;2021-01-01
30;07;05;4;96;;Koźminek;0201141;0201141;2021-01-01
30;31;03;4;96;;Krajenka;0966932;0966932;2021-01-01
30;04;03;4;96;;Krobia;0954538;0954538;2021-01-01
30;12;04;4;96;;Krotoszyn;0936931;0936931;2021-01-01
30;11;04;4;96;;Krzywiń;0954544;0954544;2021-01-01
