WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
4;1;;;aleksandrowski;powiat;2021-01-01
20;1;;;augustowski;powiat;2021-01-01
28;1;;;bartoszycki;powiat;2021-01-01
10;1;;;bełchatowski;powiat;2021-01-01
24;1;;;będziński;powiat;2021-01-01
6;1;;;bialski;powiat;2021-01-01
6;61;;;Biała Podlaska;miasto na prawach powiatu;2021-01-01
14;1;;;białobrzeski;powiat;2021-01-01
32;1;;;białogardzki;powiat;2021-01-01
20;2;;;białostocki;powiat;2021-01-01
20;61;;;Białystok;miasto na prawach powiatu;2021-01-01
20;3;;;bielski;powiat;2021-01-01
24;2;;;bielski;powiat;2021-01-01
24;61;;;Bielsko-Biała;miasto na prawach powiatu;2021-01-01
24;14;;;bieruńsko-lędziński;powiat;2021-01-01
18;1;;;bieszczadzki;powiat;2021-01-01
6;2;;;biłgorajski;powiat;2021-01-01
12;1;;;bocheński;powiat;2021-01-01
2;1;;;bolesławiecki;powiat;2021-01-01
28;2;;;braniewski;powiat;2021-01-01
4;2;;;brodnicki;powiat;2021-01-01
12;2;;;brzeski;powiat;2021-01-01
16;1;;;brzeski;powiat;2021-01-01
10;21;;;brzeziński;powiat;2021-01-01
18;2;;;brzozowski;powiat;2021-01-01
26;1;;;buski;powiat;2021-01-01
4;3;;;bydgoski;powiat;2021-01-01
4;61;;;Bydgoszcz;miasto na prawach powiatu;2021-01-01
24;62;;;Bytom;miasto na prawach powiatu;2021-01-01
22;1;;;bytowski;powiat;2021-01-01
6;62;;;Chełm;miasto na prawach powiatu;2021-01-01
4;4;;;chełmiński;powiat;2021-01-01
6;3;;;chełmski;powiat;2021-01-01
30;1;;;chodzieski;powiat;2021-01-01
22;2;;;chojnicki;powiat;2021-01-01
24;63;;;Chorzów;miasto na prawach powiatu;2021-01-01
32;2;;;choszczeński;powiat;2021-01-01
12;3;;;chrzanowski;powiat;2021-01-01
14;2;;;ciechanowski;powiat;2021-01-01
24;3;;;cieszyński;powiat;2021-01-01
30;2;;;czarnkowsko-trzcianecki;powiat;2021-01-01
24;64;;;Częstochowa;miasto na prawach powiatu;2021-01-01
24;4;;;częstochowski;powiat;2021-01-01
22;3;;;człuchowski;powiat;2021-01-01
24;65;;;Dąbrowa Górnicza;miasto na prawach powiatu;2021-01-01
12;4;;;dąbrowski;powiat;2021-01-01
18;3;;;dębicki;powiat;2021-01-01
32;3;;;drawski;powiat;2021-01-01
28;3;;;działdowski;powiat;2021-01-01
2;2;;;dzierżoniowski;powiat;2021-01-01
28;61;;;Elbląg;miasto na prawach powiatu;2021-01-01
28;4;;;elbląski;powiat;2021-01-01
28;5;;;ełcki;powiat;2021-01-01
14;3;;;garwoliński;powiat;2021-01-01
22;61;;;Gdańsk;miasto na prawach powiatu;2021-01-01
22;4;;;gdański;powiat;2021-01-01
22;62;;;Gdynia;miasto na prawach powiatu;2021-01-01
28;6;;;giżycki;powiat;2021-01-01
24;66;;;Gliwice;miasto na prawach powiatu;2021-01-01
