WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
12;07;04;2;03;;Abramowice;0430700;0430686;2021-01-01
12;08;04;2;00;;Adama;0246340;0246333;2021-01-01
12;09;02;2;00;;Adamcowa;0441773;0441767;2021-01-01
12;11;05;2;00;;Adamczykowa Rola;0429358;0429341;2021-01-01
12;04;05;2;01;;Adamierz;0825189;0825189;2021-01-01
12;15;03;2;00;;Adamkówka;0049472;0049466;2021-01-01
12;15;03;2;00;;Adamkówka;0049905;0049897;2021-01-01
12;15;06;5;00;;Adamowa;0061390;0061384;2021-01-01
12;08;02;2;01;;Adamowice;0319032;0319032;2021-01-01
12;07;09;2;03;;Adamy;0989293;0452802;2021-01-01
12;15;07;2;00;;Adamy;0991717;0069144;2021-01-01
12;13;06;2;03;;Adolfin;0063800;0063779;2021-01-01
12;07;02;1;99;;Aksamity;0960705;0960697;2021-01-01
12;11;05;2;00;;Albertowa;0429022;0429016;2021-01-01
12;06;16;2;01;;Aleksandrowice;0343504;0343504;2021-01-01
12;62;01;1;99;;Aleksandrówka;0959441;0959435;2021-01-01
12;03;01;4;96;;Alwernia;0314454;0314454;2021-01-01
12;01;03;2;00;;Ameryka;1066656;0317429;2021-01-01
12;06;13;2;00;;Ameryka;0337337;0337320;2021-01-01
12;02;05;2;00;;Anczykówka;0819622;0819616;2021-01-01
12;18;01;4;96;;Andrychów;0924023;0924023;2021-01-01
12;10;11;5;01;;Andrzejówka;0454741;0454741;2021-01-01
12;17;03;2;00;;Aniołowie;1052358;0418596;2021-01-01
12;15;05;2;00;;Antałówka;0431444;0431438;2021-01-01
12;17;01;1;99;;Antałówka;0963780;0963773;2021-01-01
12;08;04;2;01;;Antolka;0246304;0246304;2021-01-01
12;07;03;2;00;;Antoniów;0425060;0425053;2021-01-01
12;07;09;2;00;;Antosze;0453500;0453492;2021-01-01
12;11;11;2;00;;Arendarczykówka;0461652;0461646;2021-01-01
12;08;01;2;00;;Augustynów;0233709;0233690;2021-01-01
12;07;05;2;00;;Augustyny;0433779;0433762;2021-01-01
12;61;02;9;99;;Azory;0950486;0950470;2021-01-01
12;15;07;2;00;;Babcówka;0068653;0068647;2021-01-01
12;10;02;2;00;;Babi Brzuch;1050595;0421345;2021-01-01
12;06;06;5;00;;Babi Koniec;0324620;0324613;2021-01-01
12;10;09;2;00;;Babia;0445110;0445104;2021-01-01
12;06;03;2;00;;Babia Góra;0320532;0320526;2021-01-01
12;07;07;2;00;;Babia Góra;0438506;0438498;2021-01-01
12;09;03;5;00;;Babia Góra;0327497;0327480;2021-01-01
12;10;10;2;00;;Babia Góra;0448114;0448108;2021-01-01
12;14;04;2;00;;Babia Góra;0259548;0259531;2021-01-01
12;16;02;2;00;;Babia Góra;0820499;0820482;2021-01-01
12;11;14;2;00;;Babiarze;0466394;0466388;2021-01-01
12;15;07;2;00;;Babiarze;0069581;0069575;2021-01-01
12;10;04;2;00;;Babiarzówka;0428560;0428554;2021-01-01
12;11;01;1;99;;Babiarzówka;0961544;0961538;2021-01-01
12;15;01;1;99;;Babiarzówka;0960160;0960154;2021-01-01
12;18;09;5;01;;Babica;0073750;0073750;2021-01-01
12;19;04;5;00;;Babica;0329390;0329384;2021-01-01
12;03;02;2;01;;Babice;0211808;0211808;2021-01-01
12;11;03;2;00;;Babice;0422497;0422480;2021-01-01
12;13;01;1;99;;Babice;0925005;0924997;2021-01-01
12;13;06;2;01;;Babice;0063638;0063638;2021-01-01
12;10;09;2;00;;Babiki;0445759;0445742;2021-01-01
12;05;02;5;00;;Babiniec;0345153;0345147;2021-01-01
12;10;09;2;00;;Babiniec;0446931;0446925;2021-01-01
12;19;05;5;00;;Babiny;0340598;0340581;2021-01-01
12;15;05;2;00;;Bąbolowa;0431042;0431007;2021-01-01
12;16;02;2;00;;Baboniówka;0820507;0820482;2021-01-01
12;13;04;5;04;;Babuda;0057550;0057550;2021-01-01
12;17;01;1;99;;Bachledówka;0963796;0963773;2021-01-01
12;17;01;1;99;;Bachledzki Wierch;1061676;0963773;2021-01-01
12;10;16;5;00;;Bachnacie;0465450;0465443;2021-01-01
12;15;04;2;00;;Bachnatowa;0418797;0418780;2021-01-01
12;18;02;2;00;;Bachorowice;0047728;0047711;2021-01-01
12;15;04;2;00;;Bachorzowa;0418805;0418780;2021-01-01
12;11;13;2;00;;Bachorzówka;0462999;0462982;2021-01-01
12;15;07;2;00;;Bachorzówka;0069598;0069575;2021-01-01
12;18;06;2;01;;Bachowice;0067613;0067613;2021-01-01
12;16;09;2;00;;Bachówki;0832870;0832864;2021-01-01
12;15;05;2;00;;Bachulowa;0431734;0431728;2021-01-01
12;11;11;2;00;;Bachulówka Niżnia;0462255;0462249;2021-01-01
12;11;11;2;00;;Bachulówka Wyżnia;0462261;0462249;2021-01-01
12;15;05;2;00;;Bacowa;0431013;0431007;2021-01-01
12;15;09;2;00;;Bacowie;0079154;0079148;2021-01-01
12;11;12;5;00;;Bacówka;0463585;0463579;2021-01-01
12;15;07;2;00;;Bacówka;0068660;0068647;2021-01-01
12;16;02;2;00;;Bacówka;1050900;0820690;2021-01-01
12;10;12;2;00;;Bącza;0454959;0991261;2021-01-01
12;10;12;2;01;;Bącza-Kunina;0991261;0991261;2021-01-01
12;01;02;2;01;;Baczków;0811796;0811796;2021-01-01
12;11;12;5;00;;Bączkówka;0463591;0463579;2021-01-01
12;06;07;2;03;;Baczyn;0325618;0325529;2021-01-01
12;15;03;2;01;;Baczyn;0048685;0048685;2021-01-01
12;05;04;2;00;;Badonie;0425662;0425656;2021-01-01
12;02;07;2;00;;Badziski;0831400;0831391;2021-01-01
12;01;03;2;00;;Bagieńce;0317286;0317270;2021-01-01
12;04;02;4;99;;Bagienica;0982173;0982167;2021-01-01
12;06;07;2;00;;Bagienki;0325469;0325452;2021-01-01
12;06;11;4;99;;Bagienki;0951882;0951876;2021-01-01
12;06;01;2;00;;Bagienna;0315554;0315548;2021-01-01
12;06;01;2;00;;Bagienna;0315778;0315761;2021-01-01
12;01;02;2;00;;Bagna;0812347;0812330;2021-01-01
12;02;06;2;00;;Bagna;0820849;0820832;2021-01-01
12;18;01;5;00;;Bagna;0045847;0045830;2021-01-01
12;02;01;2;00;;Bagno;1047653;0813513;2021-01-01
12;02;02;4;99;;Bagno;0981972;0981966;2021-01-01
12;02;02;5;03;;Bagno;1066308;1066308;2021-01-01
12;03;02;2;00;;Bagno;0211814;0211808;2021-01-01
12;12;01;1;99;;Bagno;0938410;0938404;2021-01-01
12;12;04;2;00;;Bagno;0214942;0214936;2021-01-01
12;13;02;4;99;;Bagno;0938137;0938120;2021-01-01
12;13;09;5;00;;Bagno;0076799;0076782;2021-01-01
12;16;04;2;00;;Bagno;0826993;0826987;2021-01-01
12;02;02;4;99;;Bagno na Górkach;1061682;0981966;2021-01-01
12;09;02;2;00;;Bajakowa;0442471;0442130;2021-01-01
12;01;02;2;00;;Bajdów;0812034;0812028;2021-01-01
