WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
04;10;01;5;00;;Abisynia;1029454;0088472;2021-01-01
04;14;03;2;00;;Abisynia;1030606;0084913;2021-01-01
04;18;13;2;01;;Adaminowo;0871522;0871522;2021-01-01
04;05;06;2;01;;Adamki;0872272;0872272;2021-01-01
04;16;03;2;01;;Adamkowo;0088621;0088621;2021-01-01
04;02;07;5;01;;Adamowo;0844703;0844703;2021-01-01
04;08;03;2;01;;Adamowo;0861311;0861311;2021-01-01
04;13;04;5;02;;Adamowo;0099978;0099978;2021-01-01
04;13;04;5;05;;Adamowo-Leśnictwo;0099984;0099984;2021-01-01
04;01;09;2;00;;Adolfin;1027455;0872125;2021-01-01
04;18;12;5;01;;Agnieszkowo;0866231;0866231;2021-01-01
04;01;01;1;96;;Aleksandrów Kujawski;0985384;0985384;2021-01-01
04;01;01;1;99;;Aleksandrówek;0985390;0985384;2021-01-01
04;18;04;5;04;;Aleksandrówek;1062718;1062718;2021-01-01
04;03;03;2;05;;Aleksandrowiec;0088710;0088710;2021-01-01
04;03;03;2;01;;Aleksandrowo;0084333;0084333;2021-01-01
04;08;06;2;02;;Aleksandrowo;0864232;0864232;2021-01-01
04;10;05;5;02;;Aleksandrowo;0994029;0096856;2021-01-01
04;18;04;5;01;;Aleksandrowo;0859076;0859076;2021-01-01
04;19;01;5;01;;Aleksandrowo;0079289;0079289;2021-01-01
04;11;03;2;01;;Altana;0861995;0861995;2021-01-01
04;10;05;5;02;;Ameryczka;0097212;0097212;2021-01-01
04;03;04;5;00;;Ameryka;1027886;0089081;2021-01-01
04;04;02;2;00;;Ameryka;1028064;0841580;2021-01-01
04;16;04;2;00;;Ameryka;0090486;0090470;2021-01-01
04;16;03;2;00;;Anapole;1031698;0088621;2021-01-01
04;02;02;2;02;;Anielewo;0840763;0840763;2021-01-01
04;17;02;2;00;;Anielewo;0842667;0842650;2021-01-01
04;03;07;2;04;;Anielin;0092545;0095644;2021-01-01
04;18;03;2;01;;Anielin;0858906;0858906;2021-01-01
04;10;04;2;01;;Anieliny;0094716;0094716;2021-01-01
04;06;02;2;01;;Annowo;0844502;0844502;2021-01-01
04;18;12;5;01;;Annowo;0866248;0866248;2021-01-01
04;19;02;2;01;;Annowo;0085120;0085120;2021-01-01
04;19;04;5;01;;Annowo;0091238;0091238;2021-01-01
04;18;09;2;00;;Ant;1034202;0864083;2021-01-01
04;01;05;2;01;;Antoniewo;0858154;0858154;2021-01-01
04;05;03;2;02;;Antoniewo;0843276;0843276;2021-01-01
04;12;03;2;00;;Antoniewo;1029709;0868690;2021-01-01
04;15;02;2;00;;Antoniewo;0842012;0842006;2021-01-01
04;15;04;2;03;;Antoniewo;1031416;0846369;2021-01-01
04;15;07;2;00;;Antoniewo;0847417;0847400;2021-01-01
04;18;11;5;01;;Antoniewo;0865119;0865119;2021-01-01
04;19;04;5;00;;Antoniewo;0091089;0091072;2021-01-01
04;11;05;5;01;;Anusin;0867294;0867294;2021-01-01
04;18;03;2;01;;Arciszewo;0858668;0858668;2021-01-01
04;01;08;2;01;;Ariany;0871048;0871048;2021-01-01
04;07;06;5;04;;Arturowo;0089402;0089402;2021-01-01
04;02;04;2;04;;Augustowo;0841277;0841277;2021-01-01
04;03;03;2;01;;Augustowo;0084451;0084451;2021-01-01
04;19;01;5;01;;Augustowo;0079349;0079349;2021-01-01
04;07;05;5;00;;Augustynowo;0086533;0086527;2021-01-01
04;18;08;5;01;;Augustynowo;0862836;0862836;2021-01-01
04;09;03;5;04;;Baba;0091267;0091267;2021-01-01
04;09;03;5;05;;Baba;0091273;0091273;2021-01-01
04;12;05;2;01;;Baba;0869732;0869732;2021-01-01
04;10;05;5;04;;Babia Gać;0994325;0097152;2021-01-01
04;18;02;2;00;;Babia Góra;0857858;0857841;2021-01-01
04;05;03;2;02;;Babiak;0842992;0842992;2021-01-01
04;04;02;2;00;;Babie Błota;1028070;0841580;2021-01-01
04;08;07;5;02;;Babie Ławy;0869301;0869293;2021-01-01
04;09;03;5;04;;Babka;0996672;0996672;2021-01-01
04;09;02;2;04;;Babki;1029359;1029359;2021-01-01
04;07;03;5;01;;Bąbolin;0085380;0085380;2021-01-01
04;09;03;5;01;;Bąbowo;0091824;0091824;2021-01-01
04;04;02;2;00;;Babska;0841461;0841455;2021-01-01
04;02;05;5;04;;Bachor;0843550;0843550;2021-01-01
04;07;06;5;01;;Bachorce;0089419;0089419;2021-01-01
04;01;05;2;00;;Bachórka;0858250;0858243;2021-01-01
04;18;03;2;00;;Bachórka;1032344;0858770;2021-01-01
04;01;09;2;01;;Bachorza;0872088;0872088;2021-01-01
04;18;06;5;00;;Bachorza;1033504;0860642;2021-01-01
04;08;04;5;01;;Bachorzewo;0862180;0862180;2021-01-01
04;02;10;2;01;;Bachotek;0850773;0850773;2021-01-01
04;02;08;2;00;;Baczka;1027538;0847854;2021-01-01
04;01;05;2;01;;Bądkówek;0858177;0858177;2021-01-01
04;01;05;2;01;;Bądkowo;0858160;0858160;2021-01-01
04;04;03;2;01;;Bągart;0844904;0844904;2021-01-01
04;17;04;2;01;;Bągart;0848210;0848210;2021-01-01
04;16;02;2;01;;Bagienica;0085670;0085670;2021-01-01
04;16;04;2;00;;Bagna;0090598;0090581;2021-01-01
04;14;08;2;01;;Bagniewko;0093852;0093852;2021-01-01
04;14;08;2;01;;Bagniewo;0093869;0093869;2021-01-01
04;10;05;5;00;;Bagno;0994118;0096891;2021-01-01
04;18;11;5;01;;Bagno;0865125;0865125;2021-01-01
04;04;03;2;01;;Bajerze;0844896;0844896;2021-01-01
04;10;01;5;03;;Bąk;0088450;0088450;2021-01-01
04;12;03;2;00;;Bąkowizna;1029715;0868690;2021-01-01
04;14;11;2;00;;Bąkówko;0099180;0099174;2021-01-01
04;07;02;2;04;;Bąkowo;0083807;0083807;2021-01-01
04;14;11;2;01;;Bąkowo;0099004;0099004;2021-01-01
04;14;11;2;05;;Bąkowo;0993930;0993930;2021-01-01
04;14;11;2;04;;Bąkowski Młyn;0099040;0099040;2021-01-01
04;07;04;2;01;;Balczewo;0085835;0085835;2021-01-01
04;19;06;5;00;;Balczewo;1036980;0100517;2021-01-01
04;08;09;2;01;;Bałdowo;0871367;0871367;2021-01-01
04;07;05;5;01;;Balice;0086349;0086349;2021-01-01
04;07;04;2;01;;Balin;0085841;0085841;2021-01-01
04;12;04;2;01;;Balin;0868796;0868796;2021-01-01
04;18;06;4;99;;Bałuty;0985579;0985562;2021-01-01
04;12;05;2;00;;Baraki;1029900;0870072;2021-01-01
04;12;05;2;04;;Baranie Góry;0869956;0869956;2021-01-01
04;05;03;2;04;;Baraniec;0843023;0843023;2021-01-01
04;07;06;5;01;;Baranowo;0089425;0089425;2021-01-01
04;08;06;2;01;;Barany;0864278;0864278;2021-01-01
04;63;01;1;99;;Barbarka;0982730;0982724;2021-01-01
04;18;10;2;01;;Barcikowo;0864953;0864953;2021-01-01
04;19;01;4;96;;Barcin;0928825;0928825;2021-01-01
04;19;01;5;01;;Barcin-Wieś;0079295;0079295;2021-01-01
04;03;04;5;00;;Barlikowo;0088986;0088970;2021-01-01
04;16;06;5;02;;Barłogi;0098878;0098878;2021-01-01
04;16;06;5;05;;Barłogi;1031907;1031907;2021-01-01
04;18;03;2;00;;Barnin;1032350;0859030;2021-01-01
04;04;04;2;01;;Bartlewo;0846033;0846033;2021-01-01
04;11;04;2;01;;Bartłomiejowice;0866900;0866900;2021-01-01
04;02;06;2;01;;Bartniczka;0843721;0843721;2021-01-01
04;02;03;2;01;;Bartniki;0841060;0841060;2021-01-01
04;61;01;1;99;;Bartodzieje Małe;0928370;0928363;2021-01-01
04;61;01;1;99;;Bartodzieje Wielkie;0928386;0928363;2021-01-01
