WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
06;01;08;2;02;;Abisynia;0014580;0014574;2021-01-01
06;04;04;2;00;;Abisynia;0889166;0889150;2021-01-01
06;02;06;5;01;;Abramów;0887629;0887629;2021-01-01
06;08;02;2;01;;Abramów;0378052;0378052;2021-01-01
06;09;03;5;00;;Abramów;1020890;0379436;2021-01-01
06;63;01;1;99;;Abramowice;0954716;0954700;2021-01-01
06;09;05;2;01;;Abramowice Kościelne;0954722;0954722;2021-01-01
06;09;05;2;01;;Abramowice Prywatne;0380988;0380988;2021-01-01
06;10;01;2;00;;Abramówka;0102255;0102249;2021-01-01
06;02;06;5;00;;Abramów-Kolonia;0887635;0887629;2021-01-01
06;15;06;2;00;;Adamki;0017851;0017845;2021-01-01
06;19;06;2;02;;Adamki;0109783;0109777;2021-01-01
06;03;15;5;02;;Adamów;0105414;0105414;2021-01-01
06;10;01;2;01;;Adamów;0101882;0101882;2021-01-01
06;11;03;2;01;;Adamów;0667891;0667891;2021-01-01
06;20;01;2;01;;Adamów;0884861;0884861;2021-01-01
06;04;08;2;00;;Adamówka;0905327;0905310;2021-01-01
06;06;11;2;01;;Adamówka;0907190;0907190;2021-01-01
06;20;01;2;00;;Adamów-Kolonia;0884878;0884861;2021-01-01
06;17;01;1;99;;Adampol;0957152;0957146;2021-01-01
06;19;08;2;02;;Adampol;0110674;0110674;2021-01-01
06;19;08;2;05;;Adampol;0110680;0110680;2021-01-01
06;19;08;2;04;;Adampol;0110697;0110697;2021-01-01
06;04;08;2;01;;Adelina;0904776;0904776;2021-01-01
06;12;01;2;01;;Adelina;0379778;0379778;2021-01-01
06;03;11;5;02;;Adolfin;0107420;0107420;2021-01-01
06;07;04;2;05;;Agatówka;1027225;1027225;2021-01-01
06;07;07;2;01;;Agatówka;0808660;0808660;2021-01-01
06;10;05;2;01;;Albertów;0389699;0389699;2021-01-01
06;02;06;5;01;;Albinów Duży;0887641;0887641;2021-01-01
06;02;06;5;01;;Albinów Mały;0887658;0887658;2021-01-01
06;14;04;4;99;;Albrechtówka;0955911;0955905;2021-01-01
06;03;15;5;01;;Aleksandria Krzywowolska;0105420;0105420;2021-01-01
06;03;15;5;01;;Aleksandria Niedziałowska;0105443;0105443;2021-01-01
06;01;12;2;00;;Aleksandrów;1023428;0018282;2021-01-01
06;01;15;2;00;;Aleksandrów;0019790;0020050;2021-01-01
06;02;02;2;01;;Aleksandrów;0885470;0885470;2021-01-01
06;07;04;2;01;;Aleksandrów;0791970;0791970;2021-01-01
06;11;05;2;01;;Aleksandrów;0679322;0679322;2021-01-01
06;11;07;2;01;;Aleksandrów;0689177;0689177;2021-01-01
06;02;02;2;00;;Aleksandrów Czwarty;0885487;0885470;2021-01-01
06;02;02;2;00;;Aleksandrów Drugi;0885493;0885470;2021-01-01
06;02;02;2;00;;Aleksandrów Pierwszy;0885501;0885470;2021-01-01
06;02;02;2;00;;Aleksandrów Trzeci;0885518;0885470;2021-01-01
06;01;03;2;00;;Aleksandrówka;1019763;0010777;2021-01-01
06;01;04;2;01;;Aleksandrówka;0011593;0011593;2021-01-01
06;01;13;2;00;;Aleksandrówka;0018684;0018678;2021-01-01
06;03;10;2;02;;Aleksandrówka;0106566;0106566;2021-01-01
06;03;11;5;00;;Aleksandrówka;0107689;0107672;2021-01-01
06;05;01;2;01;;Aleksandrówka;0787916;0787916;2021-01-01
06;08;08;2;01;;Aleksandrówka;0385974;0385974;2021-01-01
06;11;08;2;01;;Aleksandrówka;0691234;0691234;2021-01-01
06;19;05;2;00;;Aleksandrówka;1025806;0109027;2021-01-01
06;03;07;2;01;;Alojzów;0104751;0104751;2021-01-01
06;04;08;2;01;;Alojzów;0904799;0904799;2021-01-01
06;20;13;5;00;;Alwa;0900695;0900689;2021-01-01
06;08;05;5;01;;Amelin;0382421;0382421;2021-01-01
06;13;06;2;01;;Amelin;0019175;0019175;2021-01-01
06;04;05;2;01;;Ameryka;0894960;0894960;2021-01-01
06;03;06;2;01;;Andrzejów;0103906;0103906;2021-01-01
06;05;04;2;01;;Andrzejów;0791148;0791148;2021-01-01
06;15;07;2;00;;Andrzejów;1024669;0021539;2021-01-01
06;19;05;2;01;;Andrzejów;0108766;0108766;2021-01-01
06;02;03;2;01;;Andrzejówka;0885725;0885725;2021-01-01
06;04;05;2;01;;Andrzejówka;0894977;0894977;2021-01-01
06;04;05;2;00;;Andrzejówka-Kolonia;0894983;0894977;2021-01-01
06;19;05;2;04;;Andrzejów-Osada;0108789;0108789;2021-01-01
06;07;02;5;01;;Anielin;0786207;0786207;2021-01-01
06;11;04;2;00;;Anielin;0677168;0677151;2021-01-01
06;14;09;2;01;;Anielin;0389883;0389883;2021-01-01
06;15;04;2;02;;Anielki;0013669;0013652;2021-01-01
06;08;08;2;01;;Anielówka;0385980;0385980;2021-01-01
06;06;06;2;01;;Anielpol;0104515;0104515;2021-01-01
06;08;07;2;01;;Annobór;0384555;0384555;2021-01-01
06;08;07;2;02;;Annobór-Kolonia;0384561;0384561;2021-01-01
06;03;14;2;02;;Annopol;0110993;0110993;2021-01-01
06;04;04;2;01;;Annopol;0889025;0889025;2021-01-01
06;07;02;4;96;;Annopol;0786213;0786213;2021-01-01
06;08;06;5;01;;Annopol;0383136;0383136;2021-01-01
06;08;06;5;02;;Annopol;0383142;0383136;2021-01-01
06;09;16;2;01;;Annów;0905669;0905669;2021-01-01
06;08;06;5;01;;Annówka;0383159;0383159;2021-01-01
06;11;07;2;01;;Anonin;0689190;0689190;2021-01-01
