WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
08;07;01;2;02;;Altona;0182260;0182260;2021-01-01
08;09;01;4;96;;Babimost;0988342;0988342;2021-01-01
08;01;05;2;01;;Baczyna;0182567;0182567;2021-01-01
08;01;05;2;02;;Baczyna-Kolonia;0182573;0182573;2021-01-01
08;06;02;5;01;;Bagniewo;0181177;0181177;2021-01-01
08;12;01;5;01;;Bagno;0913700;0913700;2021-01-01
08;01;06;2;01;;Baranowice;0186588;0186588;2021-01-01
08;62;01;1;99;;Barcikowice;0917313;0988313;2021-01-01
08;62;01;1;99;;Barcikowiczki;0917320;0988313;2021-01-01
08;07;05;5;01;;Bargów;0915260;0915260;2021-01-01
08;02;02;2;01;;Barłogi;0907651;0907651;2021-01-01
08;06;02;5;05;;Baszki;0181243;0181243;2021-01-01
08;09;03;5;01;;Będów;0908805;0908805;2021-01-01
08;05;01;5;03;;Bełcze;0908780;0908774;2021-01-01
08;09;02;2;01;;Bełcze;0907875;0907875;2021-01-01
08;06;02;5;04;;Białacz;0181332;0181326;2021-01-01
08;01;07;5;01;;Białcz;0188222;0188222;2021-01-01
08;01;07;5;01;;Białczyk;0188239;0188239;2021-01-01
08;05;01;5;01;;Białków;0908633;0908633;2021-01-01
08;11;06;5;01;;Białków;0911061;0911061;2021-01-01
08;05;01;5;03;;Białkówek;0908640;0908633;2021-01-01
08;01;03;2;01;;Białobłocie;0179476;0179476;2021-01-01
08;09;05;5;01;;Białowice;0912480;0912480;2021-01-01
08;11;03;2;01;;Biecz;0908024;0908024;2021-01-01
08;11;10;2;01;;Biedrzychowice Dolne;0917856;0917856;2021-01-01
08;05;01;5;04;;Bieganów;0908656;0908656;2021-01-01
08;04;08;2;01;;Bielawy;0913396;0913396;2021-01-01
08;03;06;5;01;;Bieleń;0188015;0188015;2021-01-01
08;04;04;5;03;;Bielice;0910280;0910363;2021-01-01
08;07;05;5;01;;Bielice;0915277;0915277;2021-01-01
08;06;02;4;99;;Bielicki Młyn;1038387;0935400;2021-01-01
08;02;06;5;01;;Bielów;0910512;0910512;2021-01-01
08;11;10;2;01;;Bieniów;0917862;0917862;2021-01-01
08;03;04;2;04;;Biercza;0186192;0186192;2021-01-01
08;10;07;5;01;;Biernatów;0914533;0914533;2021-01-01
08;11;04;5;01;;Bieszków;0909791;0909791;2021-01-01
08;02;05;2;01;;Bieżyce;0909160;0909160;2021-01-01
08;03;01;2;01;;Bledzew;0178465;0178465;2021-01-01
08;03;01;2;05;;Bledzewka;0178471;0178471;2021-01-01
08;08;03;2;01;;Błonie;0913491;0913491;2021-01-01
08;03;04;2;03;;Błotnia;0186045;0186039;2021-01-01
08;06;03;2;01;;Błotnica;0187234;0187234;2021-01-01
08;06;05;2;01;;Błotno;0188430;0188430;2021-01-01
08;03;02;5;01;;Bobowicko;0183928;0183928;2021-01-01
08;02;02;2;01;;Bobrowice;0907668;0907668;2021-01-01
08;10;07;5;01;;Bobrowice;0914540;0914540;2021-01-01
08;06;04;5;01;;Bobrówko;0187429;0187429;2021-01-01
08;07;05;5;01;;Bobrówko;0915283;0915283;2021-01-01
08;04;07;5;01;;Bobrowniki;0912758;0912758;2021-01-01
08;10;05;5;01;;Bobrzany;0911581;0911581;2021-01-01
08;07;05;5;01;;Boczów;0915290;0915290;2021-01-01
08;04;02;5;01;;Bodzów;0908515;0908515;2021-01-01
08;11;08;2;02;;Bogaczów;0916035;0916035;2021-01-01
08;09;05;5;01;;Bogaczów;0912497;0912497;2021-01-01
08;01;02;2;01;;Bogdaniec;0178672;0178672;2021-01-01
08;11;10;2;01;;Bogumiłów;0917879;0917879;2021-01-01
08;01;07;5;01;;Boguszyniec;0188245;0188245;2021-01-01
08;09;02;2;01;;Bojadła;0907881;0907881;2021-01-01
08;01;03;2;01;;Bolemin;0179482;0179482;2021-01-01
08;08;06;5;03;;Boleń;0916934;0916928;2021-01-01
08;04;02;5;01;;Bonów;0908544;0908544;2021-01-01
08;01;03;2;01;;Borek;0179499;0179499;2021-01-01
08;09;08;2;01;;Borek;0915596;0915596;2021-01-01
08;04;07;5;04;;Borki;0912764;0912764;2021-01-01
08;08;05;5;01;;Borów;0914929;0914929;2021-01-01
08;04;06;5;01;;Borów Polski;0912362;0912362;2021-01-01
08;04;06;5;01;;Borów Wielki;0912356;0912356;2021-01-01
08;10;04;5;01;;Borowe;0909673;0909673;2021-01-01
08;04;08;2;01;;Borowiec;0913410;0913410;2021-01-01
08;10;07;5;01;;Borowina;0914556;0914556;2021-01-01
08;03;04;2;01;;Borowy Młyn;0186039;0186039;2021-01-01
08;11;05;2;01;;Boruszyn;0910742;0910742;2021-01-01
08;09;03;5;04;;Boryń;0908886;0908886;2021-01-01
08;09;06;5;03;;Boryń;0914349;0914332;2021-01-01
08;08;01;2;01;;Boryszyn;0910860;0910860;2021-01-01
08;08;01;2;04;;Boryszynek;0910877;0910877;2021-01-01
08;10;09;2;01;;Bożnów;0917550;0917550;2021-01-01
08;08;02;2;03;;Bracikowo;0911345;0911339;2021-01-01
08;09;03;5;01;;Bródki;0908811;0908811;2021-01-01
08;05;04;5;04;;Brodniki;1038275;1038275;2021-01-01
08;11;03;2;01;;Brody;0908030;0908030;2021-01-01
08;09;06;5;01;;Brody;0914088;0914088;2021-01-01
08;03;06;5;01;;Brójce;0188021;0188021;2021-01-01
08;11;04;5;01;;Bronice;0909800;0909800;2021-01-01
08;08;06;5;04;;Bronikowo;0916940;0916940;2021-01-01
08;04;04;5;01;;Broniszów;0910297;0910297;2021-01-01
08;02;02;2;01;;Bronków;0907680;0907680;2021-01-01
08;02;02;2;05;;Bronkówek;0907697;0907697;2021-01-01
08;06;04;5;01;;Bronowice;0187435;0187435;2021-01-01
08;11;08;2;01;;Bronowice;0915930;0915930;2021-01-01
08;11;03;2;01;;Brożek;0908047;0908047;2021-01-01
08;08;04;2;01;;Brudzewo;0914415;0914415;2021-01-01
08;09;06;5;00;;Brzezie;0914214;0914208;2021-01-01
08;09;06;5;01;;Brzezie k. Pomorska;0914094;0914094;2021-01-01
08;09;06;5;01;;Brzezie k. Sulechowa;0914102;0914102;2021-01-01
08;02;02;2;01;;Brzezinka;0907770;0907770;2021-01-01
08;06;05;2;01;;Brzezinka;0188446;0188446;2021-01-01
08;08;02;2;04;;Brzezinki;0911546;0911530;2021-01-01
08;02;04;2;01;;Brzeźnica;0908975;0908975;2021-01-01
08;10;03;2;01;;Brzeźnica;0908231;0908231;2021-01-01
08;01;05;2;01;;Brzeźno;0182580;0182580;2021-01-01
08;03;04;2;03;;Brzeźno;0186051;0186074;2021-01-01
08;07;04;5;01;;Brzeźno;0187790;0187790;2021-01-01
08;11;05;2;01;;Brzostowa;0910759;0910759;2021-01-01
08;06;04;5;01;;Brzoza;0187441;0187441;2021-01-01
08;02;06;5;01;;Brzózka;0910529;0910529;2021-01-01
08;02;05;2;01;;Brzozów;0909176;0909176;2021-01-01
08;07;01;2;01;;Brzozowa;0181993;0181993;2021-01-01
08;01;03;2;01;;Brzozowiec;0179507;0179507;2021-01-01
08;07;01;2;03;;Brzozówka;0182001;0181993;2021-01-01
08;03;02;5;03;;Brzozowy Ług;0184017;0184000;2021-01-01
08;09;07;2;01;;Buchałów;0914763;0914763;2021-01-01
08;08;01;2;01;;Bucze;0910883;0910883;2021-01-01
08;11;07;2;01;;Bucze;0912847;0912847;2021-01-01
08;10;07;5;01;;Buczek;0914562;0914562;2021-01-01
08;04;05;2;01;;Buczków;0912089;0912089;2021-01-01
08;08;01;2;01;;Buczyna;0910908;0910908;2021-01-01
08;12;03;5;03;;Buczyna;0377934;0377928;2021-01-01
08;11;08;2;01;;Buczyny;0915722;0915722;2021-01-01
08;02;03;2;01;;Budachów;0908366;0908366;2021-01-01
08;02;03;2;02;;Budachów-Kolonia;0908389;0908389;2021-01-01
08;02;05;2;01;;Budoradz;0909182;0909182;2021-01-01
08;02;04;2;01;;Budynia;0908969;0908969;2021-01-01
08;11;04;5;01;;Budziechów;0909816;0909816;2021-01-01
08;07;03;2;01;;Budzigniew;0186944;0186944;2021-01-01
08;09;06;5;01;;Buków;0914148;0914148;2021-01-01
08;10;06;2;01;;Bukowica;0911888;0911888;2021-01-01
08;10;06;2;03;;Bukowiczka;0911894;0911888;2021-01-01
08;03;02;5;01;;Bukowiec;0183940;0183940;2021-01-01
08;11;08;2;03;;Bukowina;0915998;0915981;2021-01-01
08;10;09;2;01;;Bukowina Bobrzańska;0917572;0917572;2021-01-01
08;10;09;2;00;;Bukowina Bobrzańska Dolna;0917589;0917572;2021-01-01
08;10;09;2;00;;Bukowina Bobrzańska Górna;0917595;0917572;2021-01-01
08;04;04;5;01;;Bulin;0910305;0910305;2021-01-01
08;06;04;5;04;;Buszewko;0187464;0187464;2021-01-01
08;01;05;2;01;;Buszów;0182596;0182596;2021-01-01
08;06;04;5;01;;Buszów;0187458;0187458;2021-01-01
