WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
10;10;02;2;00;;Abram;0537214;0537208;2021-01-01
10;14;02;5;00;;Adamczyki;0697917;0697900;2021-01-01
10;11;06;2;01;;Adamka;0720119;0720119;2021-01-01
10;14;02;5;01;;Adamki;0697716;0697716;2021-01-01
10;17;02;2;00;;Adamki;0701429;0701412;2021-01-01
10;01;02;2;02;;Adamów;0535184;0535184;2021-01-01
10;01;04;2;04;;Adamów;0541530;0541530;2021-01-01
10;21;02;2;01;;Adamów;0725341;0725341;2021-01-01
10;02;02;2;00;;Adamów;1038683;0559055;2021-01-01
10;02;06;2;01;;Adamów;0568887;0568887;2021-01-01
10;02;09;2;00;;Adamów;0572328;0572311;2021-01-01
10;04;02;2;00;;Adamów;0562554;0562548;2021-01-01
10;07;04;5;01;;Adamów;0546880;0546880;2021-01-01
10;07;05;2;01;;Adamów;0547773;0547773;2021-01-01
10;07;08;2;01;;Adamów;0557576;0557576;2021-01-01
10;09;07;2;00;;Adamów;0145939;0145922;2021-01-01
10;10;05;2;01;;Adamów;0544964;0544964;2021-01-01
10;10;11;5;01;;Adamów;0556128;0556128;2021-01-01
10;11;03;5;01;;Adamów;0710256;0710256;2021-01-01
10;12;09;2;01;;Adamów;0544734;0544734;2021-01-01
10;15;07;2;01;;Adamów;0734156;0734156;2021-01-01
10;16;02;2;00;;Adamów;1041343;0536189;2021-01-01
10;16;03;2;01;;Adamów;0536806;0536806;2021-01-01
10;19;03;2;00;;Adamówek;0721455;0721449;2021-01-01
10;02;06;2;01;;Adamowice;0568628;0568628;2021-01-01
10;10;09;5;01;;Adelinów;0552308;0552308;2021-01-01
10;10;08;2;04;;Adolfinów;0550812;0550812;2021-01-01
10;03;05;2;00;;Adolfów;0718884;0718861;2021-01-01
10;20;09;2;01;;Adolfów;0416947;0416947;2021-01-01
10;07;08;2;01;;Afryka;0557582;0557582;2021-01-01
10;16;03;2;01;;Agnopol;0536829;0536829;2021-01-01
10;08;06;2;01;;Albertów;0705574;0705574;2021-01-01
10;16;06;2;01;;Albertów;0544438;0544438;2021-01-01
10;16;07;2;01;;Albertów;0550031;0550031;2021-01-01
10;20;05;2;01;;Albinów;0413498;0413498;2021-01-01
10;14;02;5;00;;Aleksandria;0697923;0697900;2021-01-01
10;20;06;2;01;;Aleksandria;0414285;0414285;2021-01-01
10;01;04;2;01;;Aleksandrów;0541380;0541380;2021-01-01
10;01;06;2;01;;Aleksandrów;0711468;0711468;2021-01-01
10;02;10;2;01;;Aleksandrów;0577194;0577194;2021-01-01
10;02;11;5;01;;Aleksandrów;0580090;0580090;2021-01-01
10;10;01;2;01;;Aleksandrów;0534368;0534368;2021-01-01
10;10;04;2;00;;Aleksandrów;0540446;0540430;2021-01-01
10;12;05;5;01;;Aleksandrów;0541078;0541078;2021-01-01
10;13;02;5;01;;Aleksandrów;0723247;0723247;2021-01-01
10;16;10;2;01;;Aleksandrów;0554448;0554448;2021-01-01
10;19;02;5;00;;Aleksandrów;0714774;0714768;2021-01-01
10;06;11;5;02;;Aleksandrów Drugi;0553897;0553880;2021-01-01
10;20;04;4;96;;Aleksandrów Łódzki;0958654;0958654;2021-01-01
10;06;11;5;02;;Aleksandrów Pierwszy;0553905;0553880;2021-01-01
10;03;02;5;01;;Aleksandrówek;0706852;0706852;2021-01-01
10;04;04;2;01;;Aleksandrówek;0284517;0284517;2021-01-01
10;11;02;2;00;;Aleksandrówek;0709885;0709879;2021-01-01
10;11;03;5;01;;Aleksandrówek;0711422;0711422;2021-01-01
10;02;11;5;01;;Aleksandrówka;0580109;0580109;2021-01-01
10;11;01;2;01;;Aleksandrówka;0702392;0702392;2021-01-01
10;13;01;1;99;;Aleksandrówka;0977083;0977077;2021-01-01
10;03;05;2;01;;Alfonsów;0719027;0719027;2021-01-01
10;07;05;2;01;;Alfonsów;0547780;0547780;2021-01-01
10;11;06;2;01;;Alfonsów;0720763;0720763;2021-01-01
10;01;02;2;00;;Alinów;0535735;0535729;2021-01-01
10;04;03;2;01;;Ambrożew;0565481;0565481;2021-01-01
10;04;03;2;00;;Ambrożew-Parcele;0565498;0565481;2021-01-01
10;12;12;2;01;;Amelin;0549447;0549447;2021-01-01
10;09;05;2;00;;Ameryka;0550918;0550901;2021-01-01
10;11;06;2;00;;Ameryka;0720591;0720585;2021-01-01
10;19;04;2;00;;Ameryka;0721604;0721596;2021-01-01
10;13;02;5;00;;Amirowice;0723678;0723661;2021-01-01
10;20;07;2;01;;Anastazew;0415008;0415008;2021-01-01
10;01;02;2;01;;Anastazów;0535190;0535190;2021-01-01
10;06;02;2;01;;Andrespol;0413050;0413050;2021-01-01
10;01;06;2;01;;Andrzejów;0711480;0711480;2021-01-01
10;09;07;2;00;;Andrzejów;0145945;0145922;2021-01-01
10;18;05;2;01;;Andrzejów;0203269;0203269;2021-01-01
10;19;04;2;01;;Andrzejów;0721656;0721656;2021-01-01
10;19;04;2;00;;Andrzejów;0721952;0721946;2021-01-01
10;61;06;9;99;;Andrzejów;0958460;0958453;2021-01-01
10;14;11;5;00;;Andrzejówka;0722437;0722420;2021-01-01
10;02;07;2;01;;Anielin;0569154;0569154;2021-01-01
10;03;02;5;01;;Anielin;0706875;0706875;2021-01-01
10;07;06;2;01;;Anielin;0548175;0548175;2021-01-01
10;12;13;2;01;;Anielin;0555117;0555117;2021-01-01
10;17;03;2;01;;Anielin;0704988;0704988;2021-01-01
10;20;08;5;01;;Anielin;0415818;0415818;2021-01-01
10;20;08;5;01;;Anielin Swędowski;0415847;0415847;2021-01-01
10;09;08;2;02;;Anielów;0552573;0552573;2021-01-01
10;10;05;2;00;;Anielów;0545277;0545260;2021-01-01
10;02;09;2;02;;Anin;0572305;0572297;2021-01-01
10;18;05;2;00;;Aniołki;0203447;0203430;2021-01-01
10;20;03;1;99;;Aniołów;0959270;0959263;2021-01-01
10;02;02;2;01;;Annetów;0559138;0559138;2021-01-01
10;01;06;2;01;;Annolesie;0711497;0711497;2021-01-01
10;16;04;2;01;;Annopol Duży;0537303;0537303;2021-01-01
10;16;04;2;01;;Annopol Mały;0537310;0537310;2021-01-01
10;19;04;2;01;;Annopole Nowe;0721840;0721840;2021-01-01
10;19;04;2;01;;Annopole Stare;0721538;0721538;2021-01-01
10;13;05;2;01;;Annosław;0726240;0726240;2021-01-01
10;11;06;2;01;;Annów;0720770;0720770;2021-01-01
10;16;04;2;01;;Annów;0537326;0537326;2021-01-01
10;08;06;2;00;;Annówka;0706332;0706326;2021-01-01
10;16;03;2;01;;Antolin;0536812;0536812;2021-01-01
10;10;05;2;01;;Antonielów;0544970;0544970;2021-01-01
10;02;02;2;01;;Antoniew;0558707;0558707;2021-01-01
10;02;01;1;99;;Antoniew;0969110;0969103;2021-01-01
10;02;09;2;00;;Antoniew;1038973;0572558;2021-01-01
10;08;06;2;01;;Antoniew;0705597;0705597;2021-01-01
10;11;01;2;01;;Antoniew;0702400;0702400;2021-01-01
10;20;04;5;01;;Antoniew;0412731;0412731;2021-01-01
10;20;05;2;01;;Antoniew;0413512;0413512;2021-01-01
10;11;01;2;04;;Antoniew-Lubocha;0702110;0702110;2021-01-01
10;14;05;2;01;;Antonin;0700826;0700826;2021-01-01
10;17;06;2;00;;Antonin;0708868;0708851;2021-01-01
10;19;02;5;01;;Antonin;0714700;0714700;2021-01-01
10;01;06;2;01;;Antonina;0711528;0711528;2021-01-01
10;09;07;2;01;;Antonina;0145780;0145780;2021-01-01
10;11;03;5;01;;Antonina;0710322;0710322;2021-01-01
10;07;07;2;01;;Antoninów;0551591;0551591;2021-01-01
10;11;03;5;00;;Antoninów;0711362;0711356;2021-01-01
10;13;02;5;01;;Antoninów;0723253;0723253;2021-01-01
10;07;04;5;01;;Antoniów;0546897;0546897;2021-01-01
10;07;08;2;01;;Antoniów;0557599;0557599;2021-01-01
10;12;07;2;01;;Antoniów;0543574;0543574;2021-01-01
10;12;08;2;00;;Antoniów;0544415;0544409;2021-01-01
10;01;04;2;01;;Antoniówka;0541397;0541397;2021-01-01
10;03;04;2;03;;Antoniówka;0717376;0717360;2021-01-01
10;07;07;2;01;;Antoniówka;0551616;0551616;2021-01-01
10;06;11;4;99;;Antonówki;0968575;0968569;2021-01-01
10;12;07;2;02;;Antopol;0543605;0543605;2021-01-01
10;04;08;2;02;;Anusin;0578590;0578590;2021-01-01
10;09;07;2;00;;Anusin;0145885;0145879;2021-01-01
10;11;06;2;01;;Anusin;0721030;0721030;2021-01-01
10;01;02;2;01;;Apolinów;0535209;0535209;2021-01-01
10;03;05;2;01;;Apolonia;0719240;0719240;2021-01-01
10;10;11;5;01;;Apolonka;0556418;0556418;2021-01-01
10;12;10;2;00;;Archaniołów;1040680;0545745;2021-01-01
10;05;09;2;01;;Arkadia;0732967;0732967;2021-01-01
10;05;09;2;00;;Arkadia-Parcela;0732973;0732967;2021-01-01
10;61;02;9;99;;Arturówek;0957672;0957666;2021-01-01
10;20;09;2;01;;Astachowice;0416433;0416433;2021-01-01
10;02;03;2;01;;Augustopol;0562850;0562850;2021-01-01
10;05;02;2;00;;Augustów;0724420;0724413;2021-01-01
10;07;02;5;01;;Augustów;0618220;0618220;2021-01-01
10;09;05;2;01;;Augustów;0550841;0550841;2021-01-01
10;61;06;9;99;;Augustów;0958476;0958453;2021-01-01
10;01;02;2;01;;Augustynów;0535215;0535215;2021-01-01
10;14;09;5;01;;Augustynów;0715070;0715070;2021-01-01
10;18;04;5;01;;Augustynów;0706355;0706355;2021-01-01
10;02;01;1;99;;Azory;0969126;0969103;2021-01-01
10;12;06;2;01;;Babczów;0542801;0542801;2021-01-01
10;08;06;2;01;;Babice;0990853;0990853;2021-01-01
10;06;10;5;01;;Babichy;0415681;0415681;2021-01-01
10;08;06;2;01;;Babiczki;0705628;0705628;2021-01-01
10;17;06;2;00;;Babin;0708897;0708880;2021-01-01
10;03;04;2;01;;Babina;0717270;0717270;2021-01-01
10;03;05;2;00;;Babiniec;0718878;0718861;2021-01-01
10;11;06;2;03;;Babiniec;0720450;0720450;2021-01-01
10;19;02;5;02;;Babiniec;0714656;0714656;2021-01-01
10;11;05;2;00;;Babiocha;0717092;0717086;2021-01-01
10;13;02;5;01;;Babsk;0723260;0723260;2021-01-01
10;02;03;2;01;;Baby;0562867;0562867;2021-01-01
10;10;06;2;01;;Baby;0546383;0546383;2021-01-01
10;14;02;5;00;;Baby;1041047;0697900;2021-01-01
10;04;03;2;00;;Bachorza;0565653;0565647;2021-01-01
10;03;01;2;01;;Bachorzyn;0700281;0700281;2021-01-01
10;03;01;2;00;;Bachorzyn-Kolonia;0700298;0700281;2021-01-01
10;20;09;2;01;;Bądków;0416456;0416456;2021-01-01
10;06;11;5;01;;Bądzyń;0553851;0553851;2021-01-01
10;18;06;2;01;;Bagatelka;0208717;0208717;2021-01-01
10;10;08;2;01;;Bagno;0550315;0550315;2021-01-01
10;12;12;2;04;;Bajkowizna;0549460;0549460;2021-01-01
10;18;03;2;00;;Bąk;0197439;0197422;2021-01-01
10;11;06;2;01;;Bąki;0720148;0720148;2021-01-01
10;05;06;2;00;;Bąków;0729126;0729110;2021-01-01
10;05;10;2;01;;Bąków Dolny;0739679;0739679;2021-01-01
10;05;10;2;01;;Bąków Górny;0739685;0739685;2021-01-01
10;05;10;2;00;;Bąków Poduchowny;0739691;0739685;2021-01-01
10;10;07;2;01;;Bąkowa Góra;0549625;0549625;2021-01-01
10;05;09;2;02;;Bąkowiec;0733330;0733323;2021-01-01
10;10;04;2;01;;Bąkowiec;0540765;0540765;2021-01-01
