WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
14;12;09;5;01;;Abramy;0673733;0673733;2021-01-01
14;15;01;2;01;;Adamczycha;0505929;0505929;2021-01-01
14;25;05;2;00;;Adaminów;0624545;0624539;2021-01-01
14;15;06;2;00;;Adamka;0513120;0513113;2021-01-01
14;01;02;2;01;;Adamów;0632651;0632651;2021-01-01
14;04;05;2;01;;Adamów;0577627;0577627;2021-01-01
14;05;04;5;01;;Adamów;0002157;0002157;2021-01-01
14;07;02;2;01;;Adamów;0619142;0619142;2021-01-01
14;07;04;2;00;;Adamów;0621699;0621682;2021-01-01
14;09;05;2;01;;Adamów;0636229;0636229;2021-01-01
14;12;06;2;01;;Adamów;0670210;0670210;2021-01-01
14;25;02;2;00;;Adamów;0621015;0620990;2021-01-01
14;25;07;2;03;;Adamów;0627220;0627213;2021-01-01
14;33;09;2;01;;Adamów;0693411;0693411;2021-01-01
14;06;03;2;01;;Adamów Drwalewski;0616422;0616422;2021-01-01
14;06;03;2;01;;Adamów Rososki;0616439;0616439;2021-01-01
14;28;04;2;01;;Adamowa Góra;0731703;0731703;2021-01-01
14;14;02;2;01;;Adamówek;0001117;0001117;2021-01-01
14;38;02;5;01;;Adamówek;0732341;0732341;2021-01-01
14;38;02;5;01;;Adamowice;0732335;0732335;2021-01-01
14;05;04;5;01;;Adamowizna;0002111;0002111;2021-01-01
14;17;08;2;00;;Adamówka;1057746;0010145;2021-01-01
14;28;01;1;99;;Adamówka;0977137;0977120;2021-01-01
14;11;02;2;01;;Adamowo;0508566;0508566;2021-01-01
14;13;05;2;01;;Adamowo;0126468;0126468;2021-01-01
14;14;04;5;00;;Adamowo;0119882;0119876;2021-01-01
14;20;06;2;01;;Adamowo;0116582;0116582;2021-01-01
14;20;08;2;01;;Adamowo;0120690;0120690;2021-01-01
14;27;03;2;01;;Adamowo;0571168;0571168;2021-01-01
14;35;02;2;01;;Adamowo;0509169;0509169;2021-01-01
14;37;01;5;01;;Adamowo;0111952;0111952;2021-01-01
14;35;02;2;00;;Adamowo-Dozin;0509175;0509169;2021-01-01
14;38;04;2;01;;Adamów-Parcel;0735196;0735196;2021-01-01
14;38;04;2;01;;Adamów-Wieś;0735210;0735210;2021-01-01
14;33;03;2;01;;Adampol;0675376;0675376;2021-01-01
14;34;06;2;01;;Adampol;0673124;0673124;2021-01-01
14;35;06;2;01;;Adelin;0523459;0523459;2021-01-01
14;25;08;2;01;;Adolfin;0630474;0630474;2021-01-01
14;29;03;2;01;;Adolfów;0669370;0669370;2021-01-01
14;13;04;2;00;;Adolfowo;0124179;0124162;2021-01-01
14;13;04;2;03;;Agnieszkowo;0124469;0124430;2021-01-01
14;27;06;2;01;;Agnieszkowo;0578213;0578213;2021-01-01
14;27;06;2;03;;Agnieszkowo-Krzyżówki;0578220;0578213;2021-01-01
14;26;03;2;01;;Albinów;0676559;0676559;2021-01-01
14;29;05;5;01;;Albinów;0675873;0675873;2021-01-01
14;20;08;2;01;;Aleksandria;0120709;0120709;2021-01-01
14;38;03;2;01;;Aleksandria;0734601;0734601;2021-01-01
14;01;06;5;01;;Aleksandrów;0642106;0642106;2021-01-01
14;03;05;2;00;;Aleksandrów;0671734;0671728;2021-01-01
14;03;06;2;01;;Aleksandrów;0678274;0678274;2021-01-01
14;04;04;5;01;;Aleksandrów;0574391;0574391;2021-01-01
14;06;09;2;01;;Aleksandrów;0631290;0631290;2021-01-01
14;07;06;2;01;;Aleksandrów;0628537;0628537;2021-01-01
14;08;03;2;01;;Aleksandrów;0005569;0005569;2021-01-01
14;09;04;2;03;;Aleksandrów;0635885;0635879;2021-01-01
14;09;05;2;01;;Aleksandrów;0636235;0636235;2021-01-01
14;09;05;2;00;;Aleksandrów;0636270;0636264;2021-01-01
14;12;08;2;01;;Aleksandrów;0673466;0673466;2021-01-01
14;14;02;2;01;;Aleksandrów;0001123;0001123;2021-01-01
14;18;01;5;01;;Aleksandrów;0001502;0001502;2021-01-01
14;18;05;2;00;;Aleksandrów;0007166;0007150;2021-01-01
14;18;05;2;00;;Aleksandrów;0007350;0007344;2021-01-01
14;25;06;2;01;;Aleksandrów;0625332;0625332;2021-01-01
14;28;03;2;01;;Aleksandrów;0566003;0566003;2021-01-01
14;28;06;2;01;;Aleksandrów;0736505;0736505;2021-01-01
14;30;01;2;01;;Aleksandrów;0615701;0615701;2021-01-01
14;34;09;4;99;;Aleksandrów;0921600;0921591;2021-01-01
14;38;05;5;01;;Aleksandrów;0739202;0739202;2021-01-01
14;65;14;8;99;;Aleksandrów Drugi;1056043;0988840;2021-01-01
14;09;05;2;01;;Aleksandrów Duży;0636241;0636241;2021-01-01
14;65;14;8;99;;Aleksandrów Pierwszy;1056095;0988840;2021-01-01
14;65;14;8;99;;Aleksandrów Trzeci;1056103;0988840;2021-01-01
14;02;01;1;99;;Aleksandrówka;0930420;0930414;2021-01-01
14;06;01;2;01;;Aleksandrówka;0613955;0613955;2021-01-01
14;07;05;5;01;;Aleksandrówka;0627302;0627302;2021-01-01
14;12;05;2;01;;Aleksandrówka;0669890;0669890;2021-01-01
14;28;02;2;00;;Aleksandrówka;1056741;0009857;2021-01-01
14;33;02;2;01;;Aleksandrówka;0671970;0671970;2021-01-01
14;36;02;2;01;;Aleksandrówka;0631746;0631746;2021-01-01
14;13;05;2;00;;Aleksandrowo;0127002;0126994;2021-01-01
14;13;05;2;03;;Aleksandrowo;0127166;0127150;2021-01-01
14;14;04;5;02;;Aleksandrowo;0119830;0119824;2021-01-01
14;15;06;2;01;;Aleksandrowo;0512881;0512881;2021-01-01
14;15;11;2;01;;Aleksandrowo;0521992;0521992;2021-01-01
14;19;14;2;01;;Aleksandrowo;0576415;0576415;2021-01-01
14;22;02;5;03;;Aleksandrowo;0507220;0507220;2021-01-01
14;35;03;2;00;;Aleksandrowo;0518955;0518949;2021-01-01
14;04;02;2;01;;Aleksandrynów;0564091;0564091;2021-01-01
14;19;04;2;00;;Aleksewo;0561744;0561738;2021-01-01
14;19;11;2;01;;Alfonsów;0575290;0575290;2021-01-01
14;06;06;2;01;;Alfonsowo;0623570;0623570;2021-01-01
14;23;02;2;00;;Alfredów;0618958;0618941;2021-01-01
14;28;07;2;00;;Alin;0738467;0738450;2021-01-01
14;25;03;5;01;;Alojzów;0622546;0622546;2021-01-01
14;28;07;2;01;;Altanka;0738088;0738088;2021-01-01
14;11;04;2;01;;Amelin;0511657;0511657;2021-01-01
14;35;06;2;01;;Anastazew;0523471;0523471;2021-01-01
14;04;03;2;01;;Anatolin;0572707;0572707;2021-01-01
14;16;02;2;01;;Andrzejewo;0394507;0394507;2021-01-01
14;16;02;2;00;;Andrzejewo-Kolonie;0394513;0394507;2021-01-01
14;16;02;2;00;;Andrzejewo-Zarzecze;0394520;0394507;2021-01-01
14;15;03;2;01;;Andrzejki-Tyszki;0508106;0508106;2021-01-01
