WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
16;11;05;4;99;;Adamowice;0965921;0965915;2021-01-01
16;08;04;5;01;;Aleksandrów;0143260;0143260;2021-01-01
16;08;03;5;02;;Ameryka;0140391;0140391;2021-01-01
16;09;03;2;00;;Ameryka;0493445;0493439;2021-01-01
16;10;02;5;03;;Anachów;0493801;0493793;2021-01-01
16;09;08;5;01;;Antoniów;0501050;0501050;2021-01-01
16;05;04;2;03;;Antoszka;0504670;0504634;2021-01-01
16;09;03;2;03;;Babi Las;0493304;0493250;2021-01-01
16;02;01;5;01;;Babice;0491015;0491015;2021-01-01
16;02;01;4;96;;Baborów;0965200;0965200;2021-01-01
16;05;01;4;99;;Bagno;0965370;0965364;2021-01-01
16;08;01;5;03;;Bąki;0131357;0131340;2021-01-01
16;01;03;5;01;;Bąków;0495071;0495071;2021-01-01
16;04;02;5;01;;Bąków;0496231;0496231;2021-01-01
16;05;02;5;00;;Bąków;0497390;0497383;2021-01-01
16;05;05;5;00;;Bąków;0505533;0505527;2021-01-01
16;06;04;2;01;;Bąkowice;0503669;0503669;2021-01-01
16;08;07;2;00;;Bąkownia;0505792;0505786;2021-01-01
16;11;06;5;01;;Balcarzowice;0504315;0504315;2021-01-01
16;06;02;5;01;;Baldwinowice;0499413;0499413;2021-01-01
16;05;05;4;99;;Banaczki;0966056;0966040;2021-01-01
16;08;06;2;03;;Banasiówka;0144897;0144880;2021-01-01
16;11;05;5;03;;Banatki Duże;0503149;0503132;2021-01-01
16;11;05;5;03;;Banatki Małe;0503155;0503132;2021-01-01
16;11;03;5;05;;Baniak;0496700;0496685;2021-01-01
16;11;03;5;03;;Baniak;0496691;0496685;2021-01-01
16;11;02;2;00;;Barć;0495668;0495651;2021-01-01
16;11;05;5;03;;Barć;0503379;0503362;2021-01-01
16;07;04;2;03;;Bardno;0498862;0498856;2021-01-01
16;11;02;2;01;;Barut;0495622;0495622;2021-01-01
16;11;05;5;03;;Barwinek;0503161;0503132;2021-01-01
16;06;02;5;01;;Barzyna;0499436;0499436;2021-01-01
16;04;02;5;01;;Bażany;0496194;0496194;2021-01-01
16;07;06;5;04;;Bednary;0500866;0500866;2021-01-01
16;11;03;4;99;;Będowskie;1062233;0965631;2021-01-01
16;03;03;2;03;;Bełk;0492724;0492701;2021-01-01
16;11;07;4;99;;Bemowskie;1062240;0966004;2021-01-01
16;02;03;5;04;;Bernacice;1062173;1062173;2021-01-01
16;02;03;5;01;;Bernacice;0494077;0494077;2021-01-01
16;02;03;5;01;;Bernacice Górne;0494083;0494083;2021-01-01
16;04;02;5;01;;Biadacz;0496283;0496283;2021-01-01
16;09;05;2;01;;Biadacz;0498939;0498939;2021-01-01
16;03;03;2;03;;Biadaczów;0492760;0492753;2021-01-01
16;10;01;4;96;;Biała;0965223;0965223;2021-01-01
16;07;05;5;01;;Biała Nyska;0500257;0500257;2021-01-01
16;09;11;2;00;;Białoń;0504019;0504002;2021-01-01
16;07;02;2;01;;Białowieża;0495823;0495823;2021-01-01
16;03;01;1;99;;Biały Ług;0965430;0965424;2021-01-01
16;07;08;2;01;;Biechów;0501370;0501370;2021-01-01
16;09;09;2;03;;Biedaszka;0502411;0502405;2021-01-01
16;10;02;5;01;;Biedrzychowice;0493729;0493729;2021-01-01
16;06;04;2;01;;Bielice;0503681;0503681;2021-01-01
16;07;04;2;01;;Bielice;0498767;0498767;2021-01-01
16;08;03;4;99;;Bieńskie;0932301;0932293;2021-01-01
16;08;03;5;03;;Bieńskie;0140273;0140267;2021-01-01
16;03;02;2;01;;Bierawa;0491593;0491593;2021-01-01
16;09;13;2;00;;Bierdzańska Kolonia;0504120;0504114;2021-01-01
16;09;13;2;01;;Bierdzany;0504114;0504114;2021-01-01
16;61;01;1;99;;Bierkowice;0965022;0965016;2021-01-01
16;02;03;5;01;;Biernatów;0494090;0494090;2021-01-01
16;02;03;5;03;;Biernatówek;0494108;0494090;2021-01-01
16;01;02;2;01;;Bierzów;0491972;0491972;2021-01-01
16;06;04;2;01;;Biestrzykowice;0503698;0503698;2021-01-01
16;09;08;5;01;;Biestrzynnik;0501067;0501067;2021-01-01
16;04;01;5;01;;Biskupice;0492121;0492121;2021-01-01
16;08;05;2;01;;Biskupice;0144259;0144259;2021-01-01
16;07;01;5;01;;Biskupów;0494611;0494611;2021-01-01
16;08;05;2;03;;Biskupskie Drogi;0144265;0144259;2021-01-01
16;08;01;5;01;;Błachów;0131080;0131080;2021-01-01
16;03;01;1;99;;Blachownia Śląska;0965447;0965424;2021-01-01
16;06;02;5;03;;Bławaciska;0499695;0499689;2021-01-01
16;01;04;5;03;;Błażejowice;0498106;0498098;2021-01-01
16;03;03;2;01;;Błażejowice;0492693;0492693;2021-01-01
16;10;02;5;01;;Błażejowice Dolne;0493758;0493758;2021-01-01
16;02;02;2;01;;Bliszczyce;0491720;0491720;2021-01-01
16;08;06;2;00;;Bliźniaki;0145193;0145187;2021-01-01
16;05;02;4;99;;Błonie;0965683;0965677;2021-01-01
16;08;06;2;00;;Błonie;0144800;0144791;2021-01-01
16;01;05;2;01;;Błota;0498454;0498454;2021-01-01
16;11;05;5;01;;Błotnica Strzelecka;0503043;0503043;2021-01-01
