WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
18;04;04;2;03;;Adamówka;0603566;0603483;2021-01-01
18;14;02;2;01;;Adamówka;0598569;0598569;2021-01-01
18;18;06;2;01;;Agatówka;0811075;0811075;2021-01-01
18;13;03;2;01;;Aksmanice;0602207;0602207;2021-01-01
18;10;04;2;01;;Albigowa;0654635;0654635;2021-01-01
18;14;01;1;99;;Aleksandrów;0972520;0972513;2021-01-01
18;20;04;5;01;;Alfredówka;0800090;0800090;2021-01-01
18;15;02;2;00;;Anastazów;0658231;0658225;2021-01-01
18;07;03;5;00;;Antaczówka;0351656;0351640;2021-01-01
18;09;04;2;01;;Antoniki;0606292;0606292;2021-01-01
18;18;04;2;01;;Antoniów;0804649;0804649;2021-01-01
18;18;05;5;02;;Antoniówka;0810638;0810638;2021-01-01
18;11;09;2;00;;Antońka;0665136;0665120;2021-01-01
18;11;10;2;00;;Apolinary;0835012;0835006;2021-01-01
18;01;08;5;04;;Arłamów;0996301;0996301;2021-01-01
18;07;03;5;00;;Aszkarówka;0351662;0351640;2021-01-01
18;14;07;4;99;;Augustów;0972690;0972683;2021-01-01
18;05;09;2;00;;Babia;0360371;0360365;2021-01-01
18;19;01;2;00;;Babia Góra;0648445;0648439;2021-01-01
18;13;05;2;00;;Babia Rzeka;0605134;0605128;2021-01-01
18;16;02;5;00;;Babiak;0644418;0644401;2021-01-01
18;04;05;2;00;;Babiaki;0605424;0605418;2021-01-01
18;04;08;2;00;;Babianka;0609416;0609400;2021-01-01
18;08;05;5;03;;Babiarze;0657533;0657480;2021-01-01
18;19;01;2;01;;Babica;0648310;0648310;2021-01-01
18;04;07;5;00;;Babice;0608204;0608196;2021-01-01
18;04;10;2;00;;Babice;0610394;0610388;2021-01-01
18;13;05;2;01;;Babice;0605022;0605022;2021-01-01
18;11;09;2;01;;Babicha;0664852;0664852;2021-01-01
18;12;02;2;00;;Babie Laski;0795011;0795005;2021-01-01
18;16;03;5;00;;Babigóra;0644921;0644915;2021-01-01
18;02;03;2;00;;Babińskie;0350823;0350817;2021-01-01
18;11;06;2;01;;Babule;0803035;0803035;2021-01-01
18;21;03;5;01;;Bachlawa;0355565;0355565;2021-01-01
18;16;05;2;01;;Bachórz;0601202;0601202;2021-01-01
18;13;02;5;01;;Bachórzec;0600237;0600237;2021-01-01
18;13;05;2;01;;Bachów;0605080;0605080;2021-01-01
18;05;09;2;01;;Bączal Dolny;0359899;0359899;2021-01-01
18;05;09;2;01;;Bączal Górny;0359920;0359920;2021-01-01
18;03;02;5;01;;Bączałka;0814487;0814487;2021-01-01
18;06;05;2;00;;Badunie;0659549;0659532;2021-01-01
18;12;07;5;03;;Bagno;0809115;0809090;2021-01-01
18;15;05;2;00;;Baj;0666259;0666242;2021-01-01
18;05;04;2;00;;Bajdy;0352934;0352928;2021-01-01
18;07;09;2;01;;Bajdy;0361844;0361844;2021-01-01
18;08;04;2;00;;Baje;0654026;0654010;2021-01-01
18;16;12;2;00;;Bajor;0663870;0663864;2021-01-01
18;20;02;2;00;;Bajorek;0791591;0791585;2021-01-01
18;03;06;4;99;;Bajorki;0982351;0982345;2021-01-01
18;03;06;5;00;;Bajorki;0826480;0826473;2021-01-01
18;19;02;2;00;;Bajorki;0649166;0649150;2021-01-01
18;07;07;2;00;;Bajoro;0356620;0356613;2021-01-01
18;06;05;2;00;;Bąki;0659555;0659532;2021-01-01
18;62;01;1;99;;Bakończyce;0971689;0971672;2021-01-01
18;18;03;2;03;;Bąków;0804158;0804098;2021-01-01
18;07;02;5;00;;Bąkówka;0349346;0349330;2021-01-01
18;10;04;2;00;;Bąkówka;0654865;0654859;2021-01-01
