WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
20;03;08;2;00;;Abramiki;0043802;0043794;2021-01-01
20;11;05;2;01;;Achrymowce;0033092;0033092;2021-01-01
20;09;02;2;00;;Adamowe Łączki;1011260;0757447;2021-01-01
20;12;08;2;01;;Adamowizna;0770011;0770011;2021-01-01
20;04;05;5;00;;Adamowo;0407049;0407032;2021-01-01
20;10;05;2;04;;Adamowo;0034921;0034921;2021-01-01
20;11;05;2;00;;Adamowo;0033318;0033301;2021-01-01
20;13;02;5;00;;Adamowo;0395702;0395694;2021-01-01
20;13;08;2;00;;Adamowo;0405850;0405843;2021-01-01
20;10;05;2;01;;Adamowo-Zastawa;0034915;0034915;2021-01-01
20;06;06;2;01;;Adamusy;0409137;0409137;2021-01-01
20;09;05;2;00;;Adelin;1011810;0768267;2021-01-01
20;02;11;2;00;;Adwokatowo;0042820;0042814;2021-01-01
20;12;02;2;01;;Agrafinówka;0757039;0757039;2021-01-01
20;12;04;2;00;;Aksamitowizna;0766009;0765990;2021-01-01
20;02;05;2;00;;Albertowo;0997128;0031420;2021-01-01
20;11;04;5;02;;Aleksandrówka;0032661;0032661;2021-01-01
20;11;10;2;02;;Aleksandrówka;0042197;0042180;2021-01-01
20;12;08;2;01;;Aleksandrówka;0770028;0770028;2021-01-01
20;07;06;2;00;;Aleksandrowo;0404140;0404134;2021-01-01
20;09;03;2;01;;Aleksandrowo;0760662;0760662;2021-01-01
20;10;04;2;01;;Aleksandrowo;0028435;0028435;2021-01-01
20;12;01;2;01;;Aleksandrowo;0753225;0753225;2021-01-01
20;02;14;5;01;;Aleksicze;0044428;0044428;2021-01-01
20;09;02;2;01;;Aleksiejówka;0757312;0757312;2021-01-01
20;10;09;2;00;;Altain;0039427;0039410;2021-01-01
20;05;08;2;01;;Ancuty;0035850;0035850;2021-01-01
20;05;08;2;00;;Ancuty-Kolonia;0035866;0035850;2021-01-01
20;06;02;2;01;;Andrychy;0396943;0396943;2021-01-01
20;03;04;2;01;;Andryjanki;0024029;0024029;2021-01-01
20;01;07;2;05;;Andrzejewo;0769812;0769812;2021-01-01
20;11;07;2;02;;Andrzejewo;1012577;1012577;2021-01-01
20;12;08;2;01;;Andrzejewo;0770034;0770034;2021-01-01
20;07;02;2;01;;Andrzejki;0400567;0400567;2021-01-01
20;10;01;1;99;;Annopol;0923377;0923360;2021-01-01
20;13;02;5;01;;Antonin;0395560;0395560;2021-01-01
20;61;01;1;99;;Antoniuk;0922426;0922410;2021-01-01
20;61;01;1;99;;Antoniuk Fabryczny;0922432;0922410;2021-01-01
20;03;06;2;02;;Antonowo;0038273;0038273;2021-01-01
20;11;07;2;00;;Antonowo;1012583;0039203;2021-01-01
20;12;09;2;01;;Antosin;0771803;0771803;2021-01-01
20;10;07;2;02;;Anusin;0037954;0037954;2021-01-01
