WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
22;06;03;2;04;;Abisynia;0162398;0162398;2021-01-01
22;06;03;2;00;;Abisynia;0162790;0162783;2021-01-01
22;14;02;5;00;;Abisynia;1037608;0161565;2021-01-01
22;06;03;2;00;;Abisynia Górska;0162518;0162501;2021-01-01
22;03;05;2;04;;Adamki;0745757;0745757;2021-01-01
22;16;03;2;01;;Adamowo;0157026;0157026;2021-01-01
22;07;02;2;00;;Albertowo;0150030;0150024;2021-01-01
22;15;05;2;03;;Alpy;0161878;0161861;2021-01-01
22;05;07;2;00;;Amalka;0174800;0174792;2021-01-01
22;05;02;5;00;;Ameryka;0163423;0163417;2021-01-01
22;05;04;2;00;;Ameryka;0171078;0171061;2021-01-01
22;06;03;2;00;;Ameryka;0162620;0162613;2021-01-01
22;11;06;2;00;;Ameryka;0165273;0165267;2021-01-01
22;12;04;2;00;;Ameryka;0744479;0744462;2021-01-01
22;05;02;5;00;;Ameryka Dzierżąska;0163110;0163104;2021-01-01
22;02;03;2;01;;Angowice;0081330;0081330;2021-01-01
22;16;01;5;01;;Ankamaty;0148895;0148895;2021-01-01
22;02;02;5;01;;Antoniewo;0080039;0080039;2021-01-01
22;07;04;5;01;;Antonin;0155530;0155530;2021-01-01
22;14;02;5;04;;Aplinki;0161335;0161335;2021-01-01
22;04;04;2;04;;Arciszewo;0169348;0169348;2021-01-01
22;02;02;5;01;;Asmus;0080068;0080068;2021-01-01
22;05;07;2;00;;Augustowo;0174697;0174680;2021-01-01
22;05;08;5;01;;Babi Dół;0177106;0177106;2021-01-01
22;04;03;2;01;;Babidół;0163819;0163819;2021-01-01
22;13;13;2;03;;Babie Doły;1015110;0177017;2021-01-01
22;62;01;1;99;;Babie Doły;0934116;0934100;2021-01-01
22;02;03;2;04;;Babilon;0081659;0081659;2021-01-01
22;05;01;2;00;;Babino;0159887;0159870;2021-01-01
22;08;03;2;00;;Bąbnica;0741593;0741587;2021-01-01
22;13;06;2;05;;Baby;0166670;0166670;2021-01-01
22;02;03;2;05;;Bachorze;0081369;0081369;2021-01-01
22;02;03;2;04;;Bachorze;1014085;1014085;2021-01-01
22;05;04;2;01;;Bącka Huta;0170877;0170877;2021-01-01
22;05;04;2;05;;Bącka Huta;0171003;0171003;2021-01-01
22;05;02;5;01;;Bącz;0162949;0162949;2021-01-01
22;13;09;5;01;;Bączek;0171546;0171546;2021-01-01
22;07;02;2;01;;Bądki;0149819;0149819;2021-01-01
22;16;03;2;01;;Bądze;0156759;0156759;2021-01-01
22;16;01;5;01;;Bągart;0148903;0148903;2021-01-01
22;16;01;5;02;;Bągart;0148910;0148903;2021-01-01
22;15;09;2;00;;Bagielnica;0175076;0175060;2021-01-01
22;02;02;5;00;;Bagienka;1000835;0080022;2021-01-01
22;02;02;5;00;;Bagienko;0080298;0080281;2021-01-01
22;02;04;5;01;;Bagna;0082794;0082794;2021-01-01
22;06;06;2;04;;Bagna;0166344;0166344;2021-01-01
22;03;07;2;05;;Bagnica;0750190;0750190;2021-01-01
22;05;03;2;00;;Bagniewo;0169779;0169762;2021-01-01
22;06;03;2;01;;Bąk;0162381;0162381;2021-01-01
22;06;08;2;04;;Bąk;0172959;0172959;2021-01-01
22;01;09;2;04;;Bąkowo;0751806;0751806;2021-01-01
22;04;03;2;04;;Bąkowo;0164010;0164010;2021-01-01
22;06;06;2;04;;Bałachy;0166090;0166090;2021-01-01
22;12;10;2;01;;Bałamątek;0752295;0752295;2021-01-01
22;14;06;2;01;;Bałdowo;0175573;0175573;2021-01-01
22;07;03;2;01;;Baldram;0151035;0151035;2021-01-01
22;16;02;2;04;;Balewko;0152402;0152402;2021-01-01
22;16;02;2;04;;Balewo;0152320;0152320;2021-01-01
22;05;08;5;01;;Banino;0177112;0177112;2021-01-01
22;01;07;2;01;;Baranowo;0748833;0748833;2021-01-01
22;13;12;2;01;;Barchnowy;0173232;0173232;2021-01-01
22;07;05;2;01;;Barcice;0156200;0156200;2021-01-01
22;12;05;5;01;;Barcino;0744887;0744887;2021-01-01
22;08;05;2;04;;Bargędzino;0752467;0752467;2021-01-01
22;13;09;5;00;;Barka;0171693;0171687;2021-01-01
22;01;04;2;01;;Barkocin;0745906;0745906;2021-01-01
22;03;03;2;00;;Barkówko;0742701;0742693;2021-01-01
22;03;03;2;01;;Barkowo;0742693;0742693;2021-01-01
22;16;05;5;01;;Barlewice;0158445;0158445;2021-01-01
22;16;05;5;04;;Barlewiczki;0158451;0158451;2021-01-01
22;15;07;2;01;;Barłomino;0166835;0166835;2021-01-01
22;13;10;2;01;;Barłożno;0171990;0171990;2021-01-01
22;05;08;5;01;;Barniewice;0177129;0177129;2021-01-01
22;61;01;1;99;;Barniewice;0933022;0933016;2021-01-01
22;01;04;2;01;;Barnowiec;0745935;0745935;2021-01-01
22;01;04;2;04;;Barnowo;0745941;0745941;2021-01-01
22;13;05;2;00;;Bartel Mały;0162027;0162010;2021-01-01
22;13;05;2;01;;Bartel Wielki;0162010;0162010;2021-01-01
22;06;06;2;04;;Bartkowa Stajnia;0166427;0166427;2021-01-01
22;16;03;2;04;;Bartne Łąki;0157138;0157138;2021-01-01
22;06;08;2;01;;Bartoszylas;0172741;0172741;2021-01-01
22;05;03;2;01;;Barwik;0169466;0169466;2021-01-01
22;12;05;5;01;;Barwino;0744924;0744924;2021-01-01
22;08;04;2;04;;Bąsewice;0748224;0748224;2021-01-01
22;01;07;2;01;;Bawernica;0748626;0748626;2021-01-01
22;05;07;2;00;;Bębny;0174705;0174680;2021-01-01
22;15;09;2;01;;Będargowo;0175060;0175060;2021-01-01
22;06;03;2;00;;Będomin;0162814;0162783;2021-01-01
22;06;07;2;01;;Będomin;0167770;0167770;2021-01-01
