WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
24;17;02;2;00;;Adamki;0051138;0051090;2021-01-01
24;17;04;2;00;;Adamki;0055780;0055774;2021-01-01
24;04;05;2;01;;Adamów;0134083;0134083;2021-01-01
24;04;11;2;00;;Adamów;0138796;0138780;2021-01-01
24;04;13;2;05;;Adamów;0142600;0142600;2021-01-01
24;12;04;2;01;;Adamowice;0216295;0216295;2021-01-01
24;04;05;2;00;;Adamów-Kolonia;0134090;0134083;2021-01-01
24;06;03;2;01;;Albertów;0137785;0137785;2021-01-01
24;02;02;2;00;;Alej Borowa;0212334;0212328;2021-01-01
24;02;02;2;00;;Alej Kaniowska;0212340;0212328;2021-01-01
24;02;08;2;00;;Aleja Czaniecka;0064448;0064431;2021-01-01
24;02;08;2;00;;Aleja Fabryczna;0064454;0064431;2021-01-01
24;04;07;2;01;;Aleksandria;0135208;0135208;2021-01-01
24;04;07;2;00;;Aleksandria Druga;0135214;0135208;2021-01-01
24;04;07;2;00;;Aleksandria Pierwsza;0135220;0135208;2021-01-01
24;04;06;5;01;;Aleksandrów;0134806;0134806;2021-01-01
24;06;06;2;01;;Aleksandrów;0141640;0141640;2021-01-01
24;04;06;5;01;;Aleksandrów k. Wąsosza;0135102;0135102;2021-01-01
24;61;01;1;99;;Aleksandrowice;0923590;0923584;2021-01-01
24;04;14;2;01;;Aleksandrówka;0143490;0143490;2021-01-01
24;11;07;2;01;;Amandów;0218816;0218816;2021-01-01
24;07;05;2;00;;Ameryka;0134663;0134657;2021-01-01
24;07;07;2;00;;Ameryka;0142214;0142208;2021-01-01
24;07;07;2;00;;Andrzejów;0142125;0142119;2021-01-01
24;03;09;2;00;;Andziółówka;0052907;0052899;2021-01-01
24;64;01;1;99;;Aniołów;0930874;0930868;2021-01-01
24;65;01;1;99;;Anna;0939480;0939473;2021-01-01
24;06;07;2;01;;Annolesie;0142622;0142622;2021-01-01
24;09;03;2;01;;Antolka;0139123;0139123;2021-01-01
24;06;07;2;01;;Antonie;0142869;0142869;2021-01-01
24;04;05;2;05;;Antoniów;0134232;0134232;2021-01-01
24;04;08;2;02;;Antoniów;0136952;0136952;2021-01-01
24;04;11;2;01;;Antoniów;0139117;0139117;2021-01-01
24;63;01;1;99;;Antoniowiec;0938893;0938887;2021-01-01
24;06;08;2;01;;Antonów;0143691;0143691;2021-01-01
24;04;03;2;01;;Apolonka;0133149;0133149;2021-01-01
24;04;03;2;05;;Apolonka-Leśniczówka;0133155;0133155;2021-01-01
24;16;02;1;99;;Argentyna;0945500;0945491;2021-01-01
24;02;05;2;00;;Babia Góra;0054869;0054852;2021-01-01
24;12;02;2;00;;Babia Góra;0214132;0214126;2021-01-01
24;65;01;1;99;;Babia Ława;0939496;0939473;2021-01-01
24;11;06;2;01;;Babice;0217580;0217580;2021-01-01
24;07;08;5;01;;Babienica;0146850;0146850;2021-01-01
24;03;08;2;00;;Babilon;0052675;0052669;2021-01-01
24;03;09;2;00;;Bąbolówka;0054020;0054007;2021-01-01
24;10;03;2;00;;Babudy;0217001;0216993;2021-01-01
24;03;11;5;00;;Babusiów;0068185;0068179;2021-01-01
24;04;08;2;01;;Baby;0136768;0136768;2021-01-01
24;01;07;5;00;;Bacholin;0221439;0221422;2021-01-01
24;17;12;2;00;;Bacówka;0071626;0071610;2021-01-01
24;12;04;2;00;;Bączkowiec;0216310;0216303;2021-01-01
24;02;08;2;00;;Bagienka;0064780;0064773;2021-01-01
24;68;01;1;99;;Bagienko;0940341;0940335;2021-01-01
24;03;10;5;00;;Bagna;0067330;0999707;2021-01-01
24;06;08;2;01;;Bagna;0143716;0143716;2021-01-01
24;02;04;5;00;;Bagno;0213730;0213724;2021-01-01
24;03;09;2;00;;Bagno;0054013;0054007;2021-01-01
24;07;06;2;00;;Bagno;1002857;0135540;2021-01-01
24;61;01;1;99;;Bagno;0923609;0923584;2021-01-01
24;02;07;2;00;;Bagrówka;0058034;0058028;2021-01-01
24;03;10;4;99;;Bajerki;0925206;0925198;2021-01-01
24;03;10;5;00;;Bajerki;0067493;0067487;2021-01-01
24;79;01;1;99;;Bajerówka;0945752;0945746;2021-01-01
24;17;09;2;00;;Bajtkówka;0062060;0062053;2021-01-01
24;03;11;5;01;;Bąków;0068021;0068021;2021-01-01
24;02;05;2;00;;Bałkan;0054906;0054898;2021-01-01
24;17;06;2;00;;Banasie;0058838;0058821;2021-01-01
24;74;01;1;99;;Bańgów;0991485;0943150;2021-01-01
24;17;02;2;00;;Barabasze;0051523;0051440;2021-01-01
24;16;07;5;00;;Baran;0219744;0219738;2021-01-01
24;17;15;2;00;;Barania;0075222;0075216;2021-01-01
24;14;01;1;99;;Baraniec;0944540;0938077;2021-01-01
24;03;12;2;00;;Baranina;0225450;0990296;2021-01-01
24;17;04;2;00;;Baranowa;0055389;0055372;2021-01-01
24;03;10;5;00;;Baranowice;0067346;0999713;2021-01-01
24;03;11;5;00;;Baranowice;0068080;0068073;2021-01-01
24;79;01;1;99;;Baranowice;0945769;0945746;2021-01-01
24;09;04;2;03;;Baranowizna;0143120;0143113;2021-01-01
24;17;12;2;00;;Barglówka;0071632;0071610;2021-01-01
24;05;06;5;01;;Bargłówka;0221830;0221830;2021-01-01
24;04;13;2;01;;Bargły;0142415;0142415;2021-01-01
24;04;05;2;01;;Bartkowice;0134114;0134114;2021-01-01
24;06;01;5;05;;Bartkówka;0134025;0134025;2021-01-01
24;17;03;2;00;;Bartoszki;0051753;0051747;2021-01-01
24;17;06;2;00;;Bartyki;0058991;0058985;2021-01-01
24;03;04;2;00;;Barujec;0046189;0046172;2021-01-01
24;17;13;2;00;;Barutka;0072293;0072287;2021-01-01
24;12;01;4;99;;Barwinek;0939415;0939409;2021-01-01
24;16;10;2;00;;Barycz;0226164;0226158;2021-01-01
24;02;08;2;00;;Baściki;0064388;0064371;2021-01-01
24;17;07;2;00;;Basie;0059246;0059230;2021-01-01
24;17;11;2;00;;Basiówka;0066068;0066051;2021-01-01
24;03;07;2;01;;Bażanowice;0052103;0052103;2021-01-01
24;04;03;2;03;;Bębenek;0133333;0133327;2021-01-01
24;02;01;1;99;;Becyrk;0925867;0925850;2021-01-01
24;69;01;1;99;;Bederowiec;0937480;0937474;2021-01-01
24;17;03;2;00;;Bednarczykowie;1003259;0051931;2021-01-01
24;17;07;2;00;;Bednarzówka;0059134;0059128;2021-01-01
24;09;01;1;99;;Będusz;0932063;0932057;2021-01-01
24;01;01;1;96;;Będzin;0937899;0937899;2021-01-01
24;05;03;2;02;;Beksza;0214333;0214327;2021-01-01
24;12;01;5;01;;Bełk;0213925;0213925;2021-01-01
24;12;01;4;99;;Bełkowiec;0939421;0939409;2021-01-01
24;01;06;2;00;;Belna;0220397;0220380;2021-01-01
24;15;06;2;00;;Bełskie Stawy;0214557;0214540;2021-01-01
24;15;06;2;01;;Bełsznica;0214540;0214540;2021-01-01
24;02;05;2;00;;Belweder;0054504;0054496;2021-01-01
24;17;03;2;00;;Beresie;0051776;0051747;2021-01-01
24;17;09;2;00;;Berkówka;1003408;0062053;2021-01-01
24;17;09;2;00;;Berkówka;0062290;0062283;2021-01-01
24;17;09;2;00;;Berkówki;1003414;0062053;2021-01-01
24;03;02;1;99;;Bernatka;0926683;0926677;2021-01-01
24;17;14;2;00;;Bęściów;1003673;0073499;2021-01-01
24;02;01;1;99;;Beskid;0925873;0925850;2021-01-01
24;03;09;2;00;;Beskid;0052913;0052899;2021-01-01
24;17;07;2;00;;Beskid;0059252;0059230;2021-01-01
24;17;09;2;00;;Beskid;1003420;0062053;2021-01-01
24;02;01;1;99;;Beskidek;0925880;0925850;2021-01-01
24;03;02;1;99;;Beskidek;0926690;0926677;2021-01-01
24;17;05;2;03;;Beskidek;0057709;0057610;2021-01-01
24;02;02;2;01;;Bestwina;0212110;0212110;2021-01-01
24;02;02;2;01;;Bestwinka;0212268;0212268;2021-01-01
24;03;09;2;00;;Bestwiny;0053551;0053545;2021-01-01
24;07;03;2;00;;Biadacz;1002395;0130748;2021-01-01
24;06;01;5;01;;Biała;0999742;0999742;2021-01-01
24;16;04;2;01;;Biała Błotna;0136410;0136410;2021-01-01
24;06;01;5;00;;Biała Dolna;0133770;0999742;2021-01-01
24;02;09;5;00;;Biała Glina;0076368;0076351;2021-01-01
24;06;01;5;00;;Biała Górna;0133793;0999742;2021-01-01
24;04;09;2;03;;Biała Leśna;0137302;0137288;2021-01-01
24;04;09;2;01;;Biała Wielka;0137288;0137288;2021-01-01
24;68;01;1;99;;Biały Brzeg;0940358;0940335;2021-01-01
24;11;05;5;03;;Biały Dwór;0215752;0215746;2021-01-01
24;02;01;1;99;;Biały Krzyż;0925896;0925850;2021-01-01
