WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
26;11;01;1;99;;Abisynia;0947946;0947930;2021-01-01
26;06;07;2;00;;Abramówka;0808110;0808104;2021-01-01
26;09;03;5;01;;Adamczowice;0795726;0795726;2021-01-01
26;05;08;5;01;;Adamek;0271532;0271532;2021-01-01
26;05;07;2;01;;Adamów;0269908;0269908;2021-01-01
26;06;03;2;01;;Adamów;0797100;0797100;2021-01-01
26;06;04;5;01;;Adamów;0801177;0801177;2021-01-01
26;11;02;2;01;;Adamów;0230622;0230622;2021-01-01
26;03;01;2;00;;Adamówka;0226796;0226780;2021-01-01
26;12;06;2;05;;Adamówka;0805650;0805650;2021-01-01
26;12;07;4;99;;Adamówka;0981280;0981274;2021-01-01
26;05;01;2;02;;Adelinów;0538981;0538981;2021-01-01
26;01;01;5;00;;Adolfów;0231395;0231389;2021-01-01
26;04;18;2;01;;Akwizgran;0273608;0273608;2021-01-01
26;06;02;2;00;;Albinów;0793868;0793851;2021-01-01
26;01;08;5;03;;Aleksandrów;0277351;0277345;2021-01-01
26;02;06;5;01;;Aleksandrów;0266778;0266778;2021-01-01
26;06;04;5;00;;Aleksandrów;0801912;0801906;2021-01-01
26;08;04;5;01;;Aleksandrów;0262600;0262600;2021-01-01
26;04;02;5;00;;Aleksandrówka;0230208;0230190;2021-01-01
26;11;04;2;01;;Ambrożów;0259850;0259850;2021-01-01
26;04;09;2;02;;Ameliówka;0250168;0250168;2021-01-01
26;08;01;5;00;;Ameryka Północna;0237140;0237133;2021-01-01
26;08;01;5;00;;Ameryka Wschodnia;0237156;0237133;2021-01-01
26;09;07;2;01;;Andruszkowice;0806625;0806625;2021-01-01
26;04;04;5;03;;Andrzejówka;0234732;0234726;2021-01-01
26;10;04;2;00;;Anna;0276601;0276593;2021-01-01
26;04;08;2;01;;Antonielów;0248289;0248289;2021-01-01
26;01;01;5;00;;Antonin;0232911;0232905;2021-01-01
