WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
32;18;01;5;01;;Anielino;0774026;0774026;2021-01-01
32;06;08;5;02;;Antoniewice;0784527;0784527;2021-01-01
32;02;01;2;05;;Antoniewko;0178399;0178399;2021-01-01
32;04;06;2;01;;Babigoszcz;0781530;0781530;2021-01-01
32;06;08;5;04;;Babin;0784361;0784361;2021-01-01
32;12;01;2;01;;Babin;0772814;0772814;2021-01-01
32;62;01;1;99;;Babin;0977982;0977976;2021-01-01
32;06;01;2;01;;Babinek;0772636;0772636;2021-01-01
32;12;01;2;01;;Babinek;0772820;0772820;2021-01-01
32;04;02;5;04;;Bącznik;0775161;0775161;2021-01-01
32;02;02;5;02;;Baczyn;0179039;0179039;2021-01-01
32;07;02;5;01;;Baczysław;0774859;0774859;2021-01-01
32;15;02;5;04;;Bądki;0302095;0302095;2021-01-01
32;05;04;5;04;;Bądkowo;0780535;0780535;2021-01-01
32;08;07;2;01;;Bagicz;0313986;0313986;2021-01-01
32;04;03;5;01;;Bagna;0778857;0778857;2021-01-01
32;09;06;5;04;;Bagnica;0308761;0308761;2021-01-01
32;15;03;5;04;;Bagniewko;0303485;0303485;2021-01-01
32;09;08;2;04;;Bagno;0313348;0313348;2021-01-01
32;06;01;2;01;;Banie;0772642;0772642;2021-01-01
32;06;01;2;01;;Baniewice;0772659;0772659;2021-01-01
32;06;01;2;00;;Baniewice Zaleskie;0989413;0772659;2021-01-01
32;13;04;2;01;;Baniewo;0307879;0307879;2021-01-01
32;06;03;5;04;;Bara;0773937;0773920;2021-01-01
32;06;02;5;05;;Barcie;0773251;0773251;2021-01-01
32;08;02;2;01;;Bardy;0305981;0305981;2021-01-01
32;09;08;2;04;;Bardzlino;0313265;0313265;2021-01-01
32;05;02;5;04;;Barkowo;0775698;0775698;2021-01-01
32;10;01;4;96;;Barlinek;0935268;0935268;2021-01-01
32;02;03;5;02;;Barników;0181065;0181065;2021-01-01
32;12;06;2;01;;Barnim;0784846;0784846;2021-01-01
32;02;03;5;01;;Barnimie;0180692;0180692;2021-01-01
32;09;01;2;04;;Barnin;0302250;0302244;2021-01-01
32;09;01;2;04;;Barninek;0302296;0302280;2021-01-01
32;11;02;2;01;;Barnisław;0777734;0777734;2021-01-01
32;07;02;5;05;;Barnisławice;0775050;0775050;2021-01-01
32;06;03;5;04;;Barnkowo;0773593;0773593;2021-01-01
32;10;03;5;04;;Barnówko;0179708;0179708;2021-01-01
32;10;03;5;01;;Barnówko;0179690;0179690;2021-01-01
32;09;05;4;99;;Barnowo;0308360;0308353;2021-01-01
32;62;01;1;99;;Barnucin;0977999;0977976;2021-01-01
32;06;04;5;01;;Bartkowo;0776210;0776210;2021-01-01
32;09;06;5;04;;Bartlewo;0309298;0309298;2021-01-01
32;13;04;2;01;;Bartolino;0307603;0307603;2021-01-01
32;11;04;5;01;;Bartoszewo;0780972;0780972;2021-01-01
32;15;02;4;96;;Barwice;0949649;0949649;2021-01-01
32;14;10;2;04;;Barzkowice;0783284;0783284;2021-01-01
32;13;03;2;01;;Barzowice;0305219;0305219;2021-01-01
32;05;02;5;01;;Baszewice;0775706;0775706;2021-01-01
32;12;03;5;04;;Batowo;0778099;0778099;2021-01-01
32;16;04;2;01;;Batyń;0310284;0310284;2021-01-01
32;08;05;2;04;;Bębnikąt;0310812;0310812;2021-01-01
32;14;10;2;03;;Bębnikąt;0783634;0783628;2021-01-01
32;04;03;5;04;;Bęczno;0778969;0778969;2021-01-01
32;02;05;5;04;;Będargowiec;0185459;0185459;2021-01-01
32;02;05;5;01;;Będargowo;0185465;0185465;2021-01-01
32;11;02;2;01;;Będargowo;0777740;0777740;2021-01-01
32;12;01;2;01;;Będgoszcz;0772837;0772837;2021-01-01
32;03;05;2;01;;Będlino;0314069;0314069;2021-01-01
32;16;06;2;04;;Bedlno;0313029;0313029;2021-01-01
32;06;07;2;04;;Będogoszcz;0783143;0783143;2021-01-01
32;07;05;2;04;;Będzieszewo;0784131;0784131;2021-01-01
32;12;03;5;03;;Będzin;0778107;0778320;2021-01-01
32;09;01;2;01;;Będzinko;0302244;0302244;2021-01-01
32;09;01;2;01;;Będzino;0302273;0302273;2021-01-01
32;18;02;5;01;;Bełczna;0778403;0778403;2021-01-01
32;16;06;2;01;;Bełtno;0312722;0312722;2021-01-01
32;07;03;5;01;;Benice;0776835;0776835;2021-01-01
32;16;06;2;01;;Berkanowo;0312739;0312739;2021-01-01
32;18;04;5;04;;Bezmoście;0782497;0782497;2021-01-01
32;08;04;2;04;;Bezpraw;0989519;0989519;2021-01-01
32;11;01;2;04;;Bezrzecze;0774144;0774144;2021-01-01
32;62;01;1;99;;Bezrzecze;0978013;0977976;2021-01-01
32;14;03;5;01;;Biała;0774316;0774316;2021-01-01
32;15;03;5;01;;Biała;0303232;0303232;2021-01-01
32;07;04;5;04;;Biała Góra;1064686;1064686;2021-01-01
32;16;04;2;01;;Biała Góra;0310309;0310309;2021-01-01
32;09;08;2;04;;Biała Kępa;0313354;0313354;2021-01-01
32;15;06;2;04;;Białe;0312596;0312596;2021-01-01
32;13;04;2;04;;Białęciniec;0307632;0307632;2021-01-01
32;13;04;2;04;;Białęcinko;0997690;0997690;2021-01-01
32;13;04;2;01;;Białęcino;0307626;0307626;2021-01-01
32;06;03;5;01;;Białęgi;0773564;0773564;2021-01-01
32;15;03;5;04;;Białka;0303249;0303249;2021-01-01
32;05;08;4;99;;Białoboki;0979975;0979969;2021-01-01
32;01;01;1;96;;Białogard;0949690;0949690;2021-01-01
32;01;02;2;04;;Białogórzynko;0302712;0302712;2021-01-01
32;01;02;2;01;;Białogórzyno;0302706;0302706;2021-01-01
32;08;06;2;01;;Białokury;0311214;0311214;2021-01-01
32;04;02;4;99;;Białomącze;0978935;0978929;2021-01-01
32;15;02;5;04;;Białowąs;0302209;0302209;2021-01-01
32;04;02;5;01;;Białuń;0775149;0775149;2021-01-01
32;14;09;2;01;;Białuń;0782907;0782907;2021-01-01
32;15;03;4;96;;Biały Bór;0949767;0949767;2021-01-01
32;15;03;5;04;;Biały Dwór;0303574;0303574;2021-01-01
32;03;03;5;01;;Biały Zdrój;0306740;0306740;2021-01-01
32;16;05;2;01;;Biały Zdrój;0311740;0311740;2021-01-01
32;04;06;2;05;;Biebrówek;1063250;1063250;2021-01-01
32;05;08;5;03;;Bieczynko;0784585;0784579;2021-01-01
32;05;08;5;01;;Bieczyno;0784579;0784579;2021-01-01
32;15;03;5;01;;Bielica;0303261;0303261;2021-01-01
32;03;01;5;04;;Bielice;1009612;1009612;2021-01-01
32;04;03;5;01;;Bielice;0778863;0778863;2021-01-01
32;12;01;2;01;;Bielice;0772843;0772843;2021-01-01
32;05;01;2;01;;Bielikowo;0772932;0772932;2021-01-01
32;06;06;5;01;;Bielin;0779503;0779503;2021-01-01
32;06;02;5;01;;Bielinek;0773133;0773133;2021-01-01
32;09;07;5;01;;Bielkowo;0310829;0310829;2021-01-01
32;14;06;2;01;;Bielkowo;0777556;0777556;2021-01-01
32;04;04;5;04;;Bieńczyce;0779756;0779756;2021-01-01
32;18;01;5;01;;Bienice;0774032;0774032;2021-01-01
32;04;04;5;04;;Bieniczki;0780140;0780140;2021-01-01
32;16;04;2;01;;Biernów;0310516;0310516;2021-01-01
32;16;06;2;01;;Bierzwnica;0312768;0312768;2021-01-01
32;16;06;2;04;;Bierzwnica;1010383;1010383;2021-01-01
32;02;01;2;01;;Bierzwnik;0178040;0178040;2021-01-01
32;09;02;2;01;;Biesiekierz;0303657;0303657;2021-01-01
32;06;07;2;02;;Binówko;0783090;0783083;2021-01-01
32;06;07;2;01;;Binowo;0783083;0783083;2021-01-01
32;15;03;5;01;;Biskupice;0303284;0303284;2021-01-01
32;18;01;5;01;;Błądkowo;0774049;0774049;2021-01-01
32;06;03;5;04;;Błądzim;0773794;0773788;2021-01-01
32;03;06;5;04;;Błędno;0314359;0314359;2021-01-01
32;62;01;1;99;;Błędów;0978020;0977976;2021-01-01
32;16;06;2;04;;Blizno;0313035;0313035;2021-01-01
32;05;08;4;99;;Błogęcin;0979981;0979969;2021-01-01
32;10;01;5;05;;Błonie;0177780;0177780;2021-01-01
32;09;03;5;04;;Błotko;0304349;0304349;2021-01-01
32;08;04;2;01;;Błotnica;0307307;0307307;2021-01-01
32;04;04;5;01;;Błotno;0779762;0779762;2021-01-01
32;14;03;5;01;;Błotno;0774322;0774322;2021-01-01
32;04;04;5;03;;Błotny Młyn;0779779;0779762;2021-01-01
32;09;03;4;96;;Bobolice;0949804;0949804;2021-01-01
32;09;03;5;01;;Boboliczki;0304131;0304131;2021-01-01
32;11;02;2;04;;Bobolin;0777757;0777757;2021-01-01
32;13;03;2;01;;Bobolin;0305225;0305225;2021-01-01
32;13;06;2;01;;Bobrowice;0750238;0750238;2021-01-01
32;13;06;2;01;;Bobrowiczki;0750244;0750244;2021-01-01
32;14;02;5;01;;Bobrowniki;0773334;0773334;2021-01-01
32;03;06;5;01;;Bobrowo;0314253;0314253;2021-01-01
32;09;03;5;04;;Bobrowo;0304289;0304289;2021-01-01
