WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
28;03;04;5;01;;Adamowo;0117890;0117890;2021-01-01
28;04;01;2;01;;Adamowo;0149222;0149222;2021-01-01
28;07;06;5;01;;Adamowo;0157948;0157948;2021-01-01
28;14;02;5;01;;Adamowo;0471403;0471403;2021-01-01
28;04;01;2;00;;Adamowo-Osiedle;0149647;0149630;2021-01-01
28;12;05;2;00;;Adrianka;1045619;0847239;2021-01-01
28;16;02;5;04;;Aleksandrowo;0764000;0764000;2021-01-01
28;16;02;5;02;;Aleksandrowo;1047334;1047334;2021-01-01
28;14;09;5;04;;Ameryka;0484191;0484191;2021-01-01
28;04;07;5;02;;Anglity;0154140;0154140;2021-01-01
28;08;02;2;04;;Anielin;1046292;1046292;2021-01-01
28;15;08;5;04;;Anin;0482571;0482565;2021-01-01
28;04;07;5;01;;Aniołowo;0154157;0154157;2021-01-01
28;18;01;2;04;;Antomieszki;0753870;0753870;2021-01-01
28;17;05;2;01;;Antonia;0518300;0518300;2021-01-01
28;15;08;5;04;;Antoniewo;0482364;0482364;2021-01-01
28;06;04;2;01;;Antonowo;0757855;0757855;2021-01-01
28;16;03;5;04;;Anuszewo;0764128;0764128;2021-01-01
28;08;02;2;04;;Aptynty;0468950;0468950;2021-01-01
28;01;03;2;01;;Ardapy;0470250;0470250;2021-01-01
28;08;02;2;04;;Arklity;0468967;0468967;2021-01-01
28;03;05;2;00;;Artulewo;1044962;0122536;2021-01-01
28;08;02;2;01;;Asuny;0468980;0468980;2021-01-01
28;18;01;2;01;;Audyniszki;0753969;0753969;2021-01-01
28;01;05;2;01;;Augamy;0473916;0473916;2021-01-01
28;14;08;2;00;;Augustówka;0478374;0478368;2021-01-01
28;17;02;2;04;;Augustowo;0473508;0473508;2021-01-01
28;07;04;5;00;;Augustynowo;0150780;0150774;2021-01-01
28;09;05;5;01;;Augustyny;0153689;0153689;2021-01-01
