WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
30;02;03;2;00;;Abisynia;1005962;0525760;2021-01-01
30;23;08;5;01;;Adamierz;0301233;0301233;2021-01-01
30;09;09;2;01;;Adamin;0289992;0289992;2021-01-01
30;10;01;5;01;;Adamów;0283191;0283191;2021-01-01
30;10;06;2;01;;Adamów;0288930;0288930;2021-01-01
30;07;11;2;00;;Adamówek;1006364;0211286;2021-01-01
30;10;01;5;00;;Adamów-Kolonia;0283200;0283191;2021-01-01
30;10;06;2;00;;Adamów-Kolonia;1006915;0288930;2021-01-01
30;10;04;5;01;;Adamowo;0286189;0286189;2021-01-01
30;13;03;5;04;;Adamowo;0373965;0373965;2021-01-01
30;13;07;2;00;;Adamowo;0377710;0377704;2021-01-01
30;29;03;5;01;;Adamowo;0916220;0916220;2021-01-01
30;07;06;2;00;;Adelin;0202620;0202614;2021-01-01
30;01;04;5;00;;Adolfowo;0527820;0527977;2021-01-01
30;05;04;5;01;;Adolfowo;0593514;0593514;2021-01-01
30;07;05;5;00;;Agnieszków;0201193;0201187;2021-01-01
30;18;03;5;00;;Akacyjki;0198769;0198752;2021-01-01
30;08;01;2;00;;Albertów;0193482;0193476;2021-01-01
30;27;08;2;01;;Albertów;0298206;0298206;2021-01-01
30;08;01;2;00;;Albertów-Cegielnia;0193708;0193690;2021-01-01
30;08;01;2;00;;Albertów-Folwark;0193714;0193690;2021-01-01
30;05;02;5;01;;Albertowsko;0583875;0583875;2021-01-01
30;01;02;5;00;;Albertynowo;1005330;0524460;2021-01-01
30;07;02;2;01;;Aleksandria;0194843;0194843;2021-01-01
30;07;07;2;01;;Aleksandrów;0204116;0204116;2021-01-01
30;09;03;2;01;;Aleksandrów;0281789;0281789;2021-01-01
30;25;03;2;04;;Aleksandrów;0590668;0590668;2021-01-01
30;27;06;2;01;;Aleksandrów;0292480;0292480;2021-01-01
30;10;02;2;01;;Aleksandrówek;0284664;0284664;2021-01-01
30;09;07;2;01;;Aleksandrówka;0287303;0287303;2021-01-01
